state,state_code,year,race,race_code,hispanic_origin,hispanic_origin_code,total_births,births_by_race,total_deaths,deaths_by_race,total_mmr,mmr_by_race,total_population,population_by_race
New York,36,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,244375,39266,67,27,27.42,68.76,10000955,0
New York,36,2010,White,2106-3,Hispanic or Latino,2135-2,244375,50737,67,14,27.42,27.59,10000955,0
New York,36,2010,White,2106-3,Not Hispanic or Latino,2186-2,244375,118223,67,18,27.42,15.23,10000955,5882534
New York,36,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,241312,39157,64,19,26.52,48.52,10033393,0
New York,36,2011,White,2106-3,Hispanic or Latino,2135-2,241312,45510,64,15,26.52,32.96,10033393,0
New York,36,2011,White,2106-3,Not Hispanic or Latino,2186-2,241312,117201,64,22,26.52,18.77,10033393,0
New York,36,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,240916,38479,58,24,24.07,62.37,10081044,0
New York,36,2012,White,2106-3,Hispanic or Latino,2135-2,240916,44406,58,11,24.07,24.77,10081044,0
New York,36,2012,White,2106-3,Not Hispanic or Latino,2186-2,240916,116153,58,19,24.07,16.36,10081044,5838748
New York,36,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,236980,37613,63,22,26.58,58.49,10114934,1588409
New York,36,2013,White,2106-3,Not Hispanic or Latino,2186-2,236980,115505,63,27,26.58,23.38,10114934,5817668
New York,36,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,238773,36958,61,28,25.55,75.76,10164966,0
New York,36,2014,White,2106-3,Not Hispanic or Latino,2186-2,238773,116013,61,21,25.55,18.10,10164966,5780651
New York,36,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,237274,36392,64,27,26.97,74.19,10184278,0
New York,36,2015,White,2106-3,Hispanic or Latino,2135-2,237274,45765,64,11,26.97,24.04,10184278,0
New York,36,2015,White,2106-3,Not Hispanic or Latino,2186-2,237274,114643,64,18,26.97,15.70,10184278,5741512
New York,36,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,234283,35308,65,21,27.74,59.48,10157924,1597508
New York,36,2016,White,2106-3,Hispanic or Latino,2135-2,234283,41001,65,11,27.74,26.83,10157924,1432414
New York,36,2016,White,2106-3,Not Hispanic or Latino,2186-2,234283,112843,65,25,27.74,22.15,10157924,5697456
New York,36,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,229737,35189,47,21,20.46,59.68,10211937,1605392
New York,36,2017,White,2106-3,Hispanic or Latino,2135-2,229737,40545,47,10,20.46,24.66,10211937,1456828
New York,36,2017,White,2106-3,Not Hispanic or Latino,2186-2,229737,113152,47,14,20.46,12.37,10211937,5679233
New York,36,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,226238,34277,66,29,29.17,84.60,10053779,1575061
New York,36,2018,White,2106-3,Not Hispanic or Latino,2186-2,226238,112317,66,28,29.17,24.93,10053779,5607214
New York,36,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,221539,33332,77,33,34.76,99.00,10005715,1564675
New York,36,2019,White,2106-3,Hispanic or Latino,2135-2,221539,39089,77,16,34.76,40.93,10005715,1439112
New York,36,2019,White,2106-3,Not Hispanic or Latino,2186-2,221539,110792,77,23,34.76,20.76,10005715,5569219
North Carolina,37,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,126845,30314,21,10,16.56,32.99,4846501,0
North Carolina,37,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,120975,29017,34,21,28.10,72.37,5099371,1164077
North Carolina,37,2014,White,2106-3,Not Hispanic or Latino,2186-2,120975,67551,34,10,28.10,14.80,5099371,0
North Carolina,37,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,120843,28866,44,17,36.41,58.89,5150777,0
North Carolina,37,2015,White,2106-3,Not Hispanic or Latino,2186-2,120843,67122,44,20,36.41,29.80,5150777,0
North Carolina,37,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,120779,28503,38,16,31.46,56.13,5213836,1194060
North Carolina,37,2016,White,2106-3,Not Hispanic or Latino,2186-2,120779,66924,38,18,31.46,26.90,5213836,3347791
North Carolina,37,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,120125,29073,35,21,29.14,72.23,5271981,1207429
North Carolina,37,2017,White,2106-3,Not Hispanic or Latino,2186-2,120125,65534,35,12,29.14,18.31,5271981,3365391
North Carolina,37,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,118954,28857,25,11,21.02,38.12,5332759,1221722
North Carolina,37,2018,White,2106-3,Not Hispanic or Latino,2186-2,118954,64798,25,12,21.02,18.52,5332759,3388147
North Carolina,37,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,118725,29088,46,22,38.74,75.63,5387820,1234730
North Carolina,37,2019,White,2106-3,Not Hispanic or Latino,2186-2,118725,63612,46,16,38.74,25.15,5387820,3411460
Ohio,39,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,144841,23837,57,15,39.35,62.93,5902018,766387
Ohio,39,2009,White,2106-3,Not Hispanic or Latino,2186-2,144841,109760,57,40,39.35,36.44,5902018,4846035
Ohio,39,2010,White,2106-3,Not Hispanic or Latino,2186-2,139128,105356,40,30,28.75,28.47,5904348,0
Ohio,39,2011,White,2106-3,Not Hispanic or Latino,2186-2,137918,104506,35,26,25.38,24.88,5905599,0
Ohio,39,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,138483,23268,39,17,28.16,73.06,5901605,778183
Ohio,39,2012,White,2106-3,Not Hispanic or Latino,2186-2,138483,104116,39,20,28.16,19.21,5901605,0
Ohio,39,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,138936,23772,30,13,21.59,54.69,5911149,783941
Ohio,39,2013,White,2106-3,Not Hispanic or Latino,2186-2,138936,104059,30,16,21.59,15.38,5911149,0
Ohio,39,2014,White,2106-3,Not Hispanic or Latino,2186-2,139467,104102,22,14,15.77,13.45,5919391,0
Ohio,39,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,139264,23739,41,17,29.44,71.61,5926893,798519
Ohio,39,2015,White,2106-3,Not Hispanic or Latino,2186-2,139264,103586,41,21,29.44,20.27,5926893,0
Ohio,39,2016,White,2106-3,Not Hispanic or Latino,2186-2,138085,101564,36,23,26.07,22.65,5922679,4755008
Ohio,39,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,136832,24097,42,11,30.69,45.65,5945509,813260
Ohio,39,2017,White,2106-3,Not Hispanic or Latino,2186-2,136832,100151,42,30,30.69,29.95,5945509,4750701
Ohio,39,2018,White,2106-3,Not Hispanic or Latino,2186-2,135134,98834,27,18,19.98,18.21,5958724,4740025
Ohio,39,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,134461,24477,47,14,34.95,57.20,5958538,825306
Ohio,39,2019,White,2106-3,Not Hispanic or Latino,2186-2,134461,97126,47,32,34.95,32.95,5958538,4726696
Oklahoma,40,2009,White,2106-3,Not Hispanic or Latino,2186-2,54553,34720,28,18,51.33,51.84,1878034,1362631
Oklahoma,40,2010,White,2106-3,Not Hispanic or Latino,2186-2,53238,34096,20,15,37.57,43.99,1894374,0
Oklahoma,40,2011,White,2106-3,Not Hispanic or Latino,2186-2,52272,33358,20,12,38.26,35.97,1913759,1372293
Oklahoma,40,2012,White,2106-3,Not Hispanic or Latino,2186-2,52751,33536,15,11,28.44,32.80,1924995,1373909
Oklahoma,40,2013,White,2106-3,Not Hispanic or Latino,2186-2,53369,33978,20,13,37.47,38.26,1943276,1379661
Oklahoma,40,2016,White,2106-3,Not Hispanic or Latino,2186-2,52592,32438,20,10,38.03,30.83,1979658,1380130
Oklahoma,40,2017,White,2106-3,Not Hispanic or Latino,2186-2,50214,30901,22,14,43.81,45.31,1983302,1373135
Oklahoma,40,2018,White,2106-3,Not Hispanic or Latino,2186-2,49800,30315,17,13,34.14,42.88,1990033,1371395
Pennsylvania,42,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,146434,21480,39,14,26.63,65.18,6497024,725071
Pennsylvania,42,2009,White,2106-3,Not Hispanic or Latino,2186-2,146434,103297,39,21,26.63,20.33,6497024,5236153
Pennsylvania,42,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,143321,21025,34,13,23.72,61.83,6512016,0
Pennsylvania,42,2010,White,2106-3,Not Hispanic or Latino,2186-2,143321,101136,34,19,23.72,18.79,6512016,0
Pennsylvania,42,2011,White,2106-3,Not Hispanic or Latino,2186-2,143178,100790,23,15,16.06,14.88,6528324,0
Pennsylvania,42,2012,White,2106-3,Not Hispanic or Latino,2186-2,142514,99531,30,19,21.05,19.09,6533359,0
Pennsylvania,42,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,140921,20626,35,11,24.84,53.33,6531461,0
Pennsylvania,42,2013,White,2106-3,Not Hispanic or Latino,2186-2,140921,98751,35,20,24.84,20.25,6531461,0
Pennsylvania,42,2014,White,2106-3,Not Hispanic or Latino,2186-2,142268,99306,35,23,24.60,23.16,6533392,5140778
Pennsylvania,42,2015,White,2106-3,Not Hispanic or Latino,2186-2,141047,97845,32,15,22.69,15.33,6538129,0
Pennsylvania,42,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,139409,19680,41,15,29.41,76.22,6523033,752829
Pennsylvania,42,2016,White,2106-3,Not Hispanic or Latino,2186-2,139409,96053,41,22,29.41,22.90,6523033,5080444
Pennsylvania,42,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,137745,19809,40,10,29.04,50.48,6534208,759276
Pennsylvania,42,2017,White,2106-3,Not Hispanic or Latino,2186-2,137745,93865,40,28,29.04,29.83,6534208,5054614
Pennsylvania,42,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,135673,19155,29,10,21.37,52.21,6532400,761949
Pennsylvania,42,2018,White,2106-3,Not Hispanic or Latino,2186-2,135673,92376,29,15,21.37,16.24,6532400,5026742
Pennsylvania,42,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,134230,18989,39,14,29.05,73.73,6527628,765686
Pennsylvania,42,2019,White,2106-3,Not Hispanic or Latino,2186-2,134230,90229,39,21,29.05,23.27,6527628,5001829
South Carolina,45,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,60620,19478,23,10,37.94,51.34,2357030,689887
South Carolina,45,2009,White,2106-3,Not Hispanic or Latino,2186-2,60620,33978,23,10,37.94,29.43,2357030,0
South Carolina,45,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,57393,18288,19,18,33.11,98.43,2402602,0
South Carolina,45,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,56795,17815,17,14,29.93,78.59,2451720,0
South Carolina,45,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,57627,17878,24,17,41.65,95.09,2483088,716223
South Carolina,45,2015,White,2106-3,Not Hispanic or Latino,2186-2,58139,33927,20,11,34.40,32.42,2517178,0
South Carolina,45,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,57342,17071,28,14,48.83,82.01,2553185,728010
South Carolina,45,2016,White,2106-3,Not Hispanic or Latino,2186-2,57342,33522,28,13,48.83,38.78,2553185,1640592
South Carolina,45,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,57029,17384,24,15,42.08,86.29,2586682,734227
South Carolina,45,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,57038,17444,24,13,42.08,74.52,2655575,744682
South Carolina,45,2019,White,2106-3,Not Hispanic or Latino,2186-2,57038,32243,24,10,42.08,31.01,2655575,1701347
Tennessee,47,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,80371,16645,40,16,49.77,96.12,3307480,0
Tennessee,47,2012,White,2106-3,Not Hispanic or Latino,2186-2,80371,54712,40,23,49.77,42.04,3307480,0
Tennessee,47,2013,White,2106-3,Not Hispanic or Latino,2186-2,79992,54377,28,18,35.00,33.10,3328884,2520172
Tennessee,47,2014,White,2106-3,Not Hispanic or Latino,2186-2,81602,55499,24,15,29.41,27.03,3357172,2532642
Tennessee,47,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,81685,16792,29,13,35.50,77.42,3382838,0
Tennessee,47,2015,White,2106-3,Not Hispanic or Latino,2186-2,81685,55420,29,14,35.50,25.26,3382838,0
Tennessee,47,2016,White,2106-3,Not Hispanic or Latino,2186-2,80807,54508,25,13,30.94,23.85,3408679,2558371
Tennessee,47,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,81016,16663,39,10,48.14,60.01,3440018,613639
Tennessee,47,2017,White,2106-3,Not Hispanic or Latino,2186-2,81016,54377,39,25,48.14,45.98,3440018,2572069
Tennessee,47,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,80751,16580,27,14,33.44,84.44,3467086,618282
Tennessee,47,2018,White,2106-3,Not Hispanic or Latino,2186-2,80751,53962,27,12,33.44,22.24,3467086,2586269
Tennessee,47,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,80450,16624,30,11,37.29,66.17,3496935,623876
Tennessee,47,2019,White,2106-3,Not Hispanic or Latino,2186-2,80450,52899,30,11,37.29,20.79,3496935,2601080
Texas,48,2009,Black or African American,2054-5,Not Hispanic or Latino,2186-2,401977,45482,127,35,31.59,76.95,12500150,0
Texas,48,2009,White,2106-3,Hispanic or Latino,2135-2,401977,196547,127,41,31.59,20.86,12500150,0
Texas,48,2009,White,2106-3,Not Hispanic or Latino,2186-2,401977,137594,127,44,31.59,31.98,12500150,0
Texas,48,2010,Black or African American,2054-5,Not Hispanic or Latino,2186-2,386118,44560,101,25,26.16,56.10,12673281,0
Texas,48,2010,White,2106-3,Hispanic or Latino,2135-2,386118,185357,101,33,26.16,17.80,12673281,4481858
Texas,48,2010,White,2106-3,Not Hispanic or Latino,2186-2,386118,134920,101,41,26.16,30.39,12673281,0
Texas,48,2011,Black or African American,2054-5,Not Hispanic or Latino,2186-2,377445,43212,131,41,34.71,94.88,12932239,1568577
Texas,48,2011,White,2106-3,Hispanic or Latino,2135-2,377445,178768,131,25,34.71,13.98,12932239,0
Texas,48,2011,White,2106-3,Not Hispanic or Latino,2186-2,377445,133894,131,60,34.71,44.81,12932239,0
Texas,48,2012,Black or African American,2054-5,Not Hispanic or Latino,2186-2,382727,44530,159,50,41.54,112.28,13111469,0
Texas,48,2012,White,2106-3,Hispanic or Latino,2135-2,382727,178859,159,49,41.54,27.40,13111469,4704348
Texas,48,2012,White,2106-3,Not Hispanic or Latino,2186-2,382727,135573,159,55,41.54,40.57,13111469,0
Texas,48,2013,Black or African American,2054-5,Not Hispanic or Latino,2186-2,387340,45825,168,42,43.37,91.65,13301191,1638960
Texas,48,2013,White,2106-3,Hispanic or Latino,2135-2,387340,181346,168,55,43.37,30.33,13301191,4788569
Texas,48,2013,White,2106-3,Not Hispanic or Latino,2186-2,387340,136608,168,64,43.37,46.85,13301191,0
Texas,48,2014,Black or African American,2054-5,Not Hispanic or Latino,2186-2,399766,47983,147,37,36.77,77.11,13574572,1677410
Texas,48,2014,White,2106-3,Hispanic or Latino,2135-2,399766,185220,147,50,36.77,26.99,13574572,4927137
Texas,48,2014,White,2106-3,Not Hispanic or Latino,2186-2,399766,140992,147,58,36.77,41.14,13574572,0
Texas,48,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,403618,49662,157,54,38.90,108.74,13831324,0
Texas,48,2015,White,2106-3,Hispanic or Latino,2135-2,403618,186593,157,41,38.90,21.97,13831324,5049228
Texas,48,2015,White,2106-3,Not Hispanic or Latino,2186-2,403618,140553,157,58,38.90,41.27,13831324,0
Texas,48,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,398047,49748,153,49,38.44,98.50,14031164,1751635
Texas,48,2016,White,2106-3,Hispanic or Latino,2135-2,398047,179517,153,49,38.44,27.30,14031164,5149588
Texas,48,2016,White,2106-3,Not Hispanic or Latino,2186-2,398047,136623,153,51,38.44,37.33,14031164,6105304
Texas,48,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,382050,49423,147,44,38.48,89.03,14242803,1789529
Texas,48,2017,White,2106-3,Hispanic or Latino,2135-2,382050,171106,147,54,38.48,31.56,14242803,5269793
Texas,48,2017,White,2106-3,Not Hispanic or Latino,2186-2,382050,129760,147,47,38.48,36.22,14242803,6115217
Texas,48,2018,Black or African American,2054-5,Not Hispanic or Latino,2186-2,378624,49396,94,24,24.83,48.59,14441739,1829475
Texas,48,2018,White,2106-3,Hispanic or Latino,2135-2,378624,174455,94,36,24.83,20.64,14441739,5367475
Texas,48,2018,White,2106-3,Not Hispanic or Latino,2186-2,378624,127819,94,31,24.83,24.25,14441739,6130564
Texas,48,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,377599,48653,89,22,23.57,45.22,14593179,1863476
Texas,48,2019,White,2106-3,Hispanic or Latino,2135-2,377599,174974,89,33,23.57,18.86,14593179,5442167
Texas,48,2019,White,2106-3,Not Hispanic or Latino,2186-2,377599,126924,89,31,23.57,24.42,14593179,6153011
Utah,49,2013,White,2106-3,Not Hispanic or Latino,2186-2,50957,39401,16,13,31.40,32.99,1441891,1170954
Utah,49,2015,White,2106-3,Not Hispanic or Latino,2186-2,50778,38473,13,11,25.60,28.59,1488819,1197984
Utah,49,2019,White,2106-3,Not Hispanic or Latino,2186-2,46826,33982,14,10,29.90,29.43,1591041,1262201
Virginia,51,2015,Black or African American,2054-5,Not Hispanic or Latino,2186-2,103303,21777,31,13,30.01,59.70,4258228,0
Virginia,51,2015,White,2106-3,Not Hispanic or Latino,2186-2,103303,59244,31,13,30.01,21.94,4258228,2709251
Virginia,51,2016,Black or African American,2054-5,Not Hispanic or Latino,2186-2,102460,21288,47,19,45.87,89.25,4274994,871315
Virginia,51,2016,White,2106-3,Not Hispanic or Latino,2186-2,102460,58130,47,27,45.87,46.45,4274994,2708821
Virginia,51,2017,Black or African American,2054-5,Not Hispanic or Latino,2186-2,100391,21670,40,10,39.84,46.15,4303293,878415
Virginia,51,2017,White,2106-3,Not Hispanic or Latino,2186-2,100391,56219,40,27,39.84,48.03,4303293,2704481
Virginia,51,2019,Black or African American,2054-5,Not Hispanic or Latino,2186-2,97429,20997,32,15,32.84,71.44,4335262,886772
Virginia,51,2019,White,2106-3,Not Hispanic or Latino,2186-2,97429,53743,32,11,32.84,20.47,4335262,2700611
Washington,53,2011,White,2106-3,Not Hispanic or Latino,2186-2,86976,55084,14,11,16.10,19.97,3420356,0
Washington,53,2013,White,2106-3,Not Hispanic or Latino,2186-2,86577,54779,20,14,23.10,25.56,3488736,0
Washington,53,2014,White,2106-3,Not Hispanic or Latino,2186-2,88585,55872,20,11,22.58,19.69,3531595,0
Washington,53,2017,White,2106-3,Not Hispanic or Latino,2186-2,87562,52368,24,13,27.41,24.82,3702270,2629260
Washington,53,2018,White,2106-3,Not Hispanic or Latino,2186-2,86085,50821,21,13,24.39,25.58,3765680,2648026
Washington,53,2019,White,2106-3,Not Hispanic or Latino,2186-2,84895,49198,31,17,36.52,34.55,3802910,2655936
West Virginia,54,2018,White,2106-3,Not Hispanic or Latino,2186-2,18248,16785,10,10,54.80,59.58,911492,853052
Wisconsin,55,2009,White,2106-3,Not Hispanic or Latino,2186-2,70843,52462,13,10,18.35,19.06,2856103,0
Wisconsin,55,2011,White,2106-3,Not Hispanic or Latino,2186-2,67810,50500,15,10,22.12,19.80,2875675,0
Wisconsin,55,2014,White,2106-3,Not Hispanic or Latino,2186-2,67161,49440,16,13,23.82,26.29,2898057,2409803
Wisconsin,55,2015,White,2106-3,Not Hispanic or Latino,2186-2,67041,49024,11,10,16.41,20.40,2903737,0
