record_id,state,id,state_code,year,births,maternal_mortality_ratio,population
113,Louisiana,US.LA,22,2018,59615,36.9,2385219
114,Louisiana,US.LA,22,2019,58941,44.11,2381744
115,Maryland,US.MD,24,2009,75059,23.98,2960001
116,Maryland,US.MD,24,2010,73801,35.23,2981790
117,Maryland,US.MD,24,2011,73093,32.83,3007715
118,Maryland,US.MD,24,2012,72883,27.44,3034160
119,Maryland,US.MD,24,2013,71953,20.85,3054052
120,Maryland,US.MD,24,2014,73921,29.76,3079989
121,Maryland,US.MD,24,2015,73616,21.73,3095316
122,Maryland,US.MD,24,2016,73136,17.78,3101981
123,Maryland,US.MD,24,2017,71641,34.9,3118023
124,Maryland,US.MD,24,2018,71080,23.92,3113797
125,Maryland,US.MD,24,2019,70178,31.35,3116815
126,Massachusetts,US.MA,25,2016,71317,25.24,3506128
127,Massachusetts,US.MA,25,2017,70702,19.8,3529454
128,Massachusetts,US.MA,25,2018,69109,21.7,3551621
129,Michigan,US.MI,26,2009,117294,28.99,5044338
130,Michigan,US.MI,26,2010,114531,41.04,5035526
131,Michigan,US.MI,26,2011,114008,28.95,5030242
132,Michigan,US.MI,26,2012,113091,25.64,5032849
133,Michigan,US.MI,26,2013,113489,31.72,5036338
134,Michigan,US.MI,26,2014,114375,25.36,5041414
135,Michigan,US.MI,26,2015,113312,23.83,5044428
136,Michigan,US.MI,26,2016,113315,35.3,5043554
137,Michigan,US.MI,26,2017,111426,21.54,5058559
138,Michigan,US.MI,26,2018,110032,29.08,5073772
139,Michigan,US.MI,26,2019,107886,31.51,5068329
140,Minnesota,US.MN,27,2009,70646,15.57,2659958
141,Minnesota,US.MN,27,2011,68409,19.0,2689958
142,Minnesota,US.MN,27,2012,68772,21.81,2706970
143,Minnesota,US.MN,27,2013,69159,15.91,2727081
144,Minnesota,US.MN,27,2014,69904,14.31,2745132
145,Minnesota,US.MN,27,2016,69749,20.07,2772322
146,Minnesota,US.MN,27,2017,68595,26.24,2799760
147,Minnesota,US.MN,27,2018,67344,14.85,2816378
148,Minnesota,US.MN,27,2019,66027,16.66,2829821
149,Mississippi,US.MS,28,2009,42901,32.63,1522000
150,Mississippi,US.MS,28,2010,40036,29.97,1526057
151,Mississippi,US.MS,28,2011,39860,45.16,1531968
152,Mississippi,US.MS,28,2012,38669,38.79,1535635
153,Mississippi,US.MS,28,2013,38634,33.65,1536620
154,Mississippi,US.MS,28,2016,37928,36.91,1539934
155,Mississippi,US.MS,28,2017,37357,32.12,1538222
156,Mississippi,US.MS,28,2018,37000,40.54,1538795
157,Mississippi,US.MS,28,2019,36636,60.05,1533857
158,Missouri,US.MO,29,2009,78905,22.81,3042021
159,Missouri,US.MO,29,2010,76759,15.63,3055450
160,Missouri,US.MO,29,2011,76117,22.33,3066254
161,Missouri,US.MO,29,2012,75446,45.07,3070952
162,Missouri,US.MO,29,2013,75296,39.84,3080214
163,Missouri,US.MO,29,2014,75360,45.12,3089367
164,Missouri,US.MO,29,2015,75061,43.96,3098627
165,Missouri,US.MO,29,2016,74705,36.14,3100965
166,Missouri,US.MO,29,2017,73034,38.34,3111296
167,Missouri,US.MO,29,2018,73269,32.76,3118889
168,Missouri,US.MO,29,2019,72127,22.18,3124766
169,Nevada,US.NV,32,2017,35756,30.76,1494290
170,New Jersey,US.NJ,34,2009,110331,33.54,4493506
171,New Jersey,US.NJ,34,2010,106922,28.06,4512294
172,New Jersey,US.NJ,34,2011,105883,45.33,4520963
173,New Jersey,US.NJ,34,2012,104230,34.54,4540905
174,New Jersey,US.NJ,34,2013,102575,55.57,4555374
175,New Jersey,US.NJ,34,2014,103305,53.24,4576223
176,New Jersey,US.NJ,34,2015,103127,37.82,4585897
177,New Jersey,US.NJ,34,2016,102647,41.89,4576725
178,New Jersey,US.NJ,34,2017,101250,43.46,4609070
179,New Jersey,US.NJ,34,2018,101223,34.58,4556326
180,New Jersey,US.NJ,34,2019,99585,36.15,4541603
181,New Mexico,US.NM,35,2011,27289,43.97,1052114
182,New Mexico,US.NM,35,2017,23767,42.08,1053926
183,New York,US.NY,36,2009,248110,28.21,9966620
184,New York,US.NY,36,2010,244375,27.42,10000955
185,New York,US.NY,36,2011,241312,26.52,10033393
186,New York,US.NY,36,2012,240916,24.07,10081044
187,New York,US.NY,36,2013,236980,26.58,10114934
188,New York,US.NY,36,2014,238773,25.55,10164966
189,New York,US.NY,36,2015,237274,26.97,10184278
190,New York,US.NY,36,2016,234283,27.74,10157924
191,New York,US.NY,36,2017,229737,20.46,10211937
192,New York,US.NY,36,2018,226238,29.17,10053779
193,New York,US.NY,36,2019,221539,34.76,10005715
194,North Carolina,US.NC,37,2009,126845,16.56,4846501
195,North Carolina,US.NC,37,2010,122350,8.17,4889991
196,North Carolina,US.NC,37,2011,120389,9.14,4952679
197,North Carolina,US.NC,37,2012,119831,8.35,4999175
198,North Carolina,US.NC,37,2013,119002,12.6,5047448
199,North Carolina,US.NC,37,2014,120975,28.1,5099371
200,North Carolina,US.NC,37,2015,120843,36.41,5150777
201,North Carolina,US.NC,37,2016,120779,31.46,5213836
202,North Carolina,US.NC,37,2017,120125,29.14,5271981
203,North Carolina,US.NC,37,2018,118954,21.02,5332759
204,North Carolina,US.NC,37,2019,118725,38.74,5387820
205,Ohio,US.OH,39,2009,144841,39.35,5902018
206,Ohio,US.OH,39,2010,139128,28.75,5904348
207,Ohio,US.OH,39,2011,137918,25.38,5905599
208,Ohio,US.OH,39,2012,138483,28.16,5901605
209,Ohio,US.OH,39,2013,138936,21.59,5911149
210,Ohio,US.OH,39,2014,139467,15.77,5919391
211,Ohio,US.OH,39,2015,139264,29.44,5926893
212,Ohio,US.OH,39,2016,138085,26.07,5922679
213,Ohio,US.OH,39,2017,136832,30.69,5945509
214,Ohio,US.OH,39,2018,135134,19.98,5958724
215,Ohio,US.OH,39,2019,134461,34.95,5958538
216,Oklahoma,US.OK,40,2009,54553,51.33,1878034
217,Oklahoma,US.OK,40,2010,53238,37.57,1894374
218,Oklahoma,US.OK,40,2011,52272,38.26,1913759
219,Oklahoma,US.OK,40,2012,52751,28.44,1924995
220,Oklahoma,US.OK,40,2013,53369,37.47,1943276
221,Oklahoma,US.OK,40,2014,53339,24.37,1957903
222,Oklahoma,US.OK,40,2015,53122,26.35,1974214
223,Oklahoma,US.OK,40,2016,52592,38.03,1979658
224,Oklahoma,US.OK,40,2017,50214,43.81,1983302
225,Oklahoma,US.OK,40,2018,49800,34.14,1990033
226,Oklahoma,US.OK,40,2019,49143,28.49,1996313
227,Oregon,US.OR,41,2011,45155,22.15,1955239
228,Oregon,US.OR,41,2013,45155,26.58,1985655
229,Oregon,US.OR,41,2017,43631,27.5,2089787
230,Pennsylvania,US.PA,42,2009,146434,26.63,6497024
231,Pennsylvania,US.PA,42,2010,143321,23.72,6512016
232,Pennsylvania,US.PA,42,2011,143178,16.06,6528324
233,Pennsylvania,US.PA,42,2012,142514,21.05,6533359
234,Pennsylvania,US.PA,42,2013,140921,24.84,6531461
235,Pennsylvania,US.PA,42,2014,142268,24.6,6533392
236,Pennsylvania,US.PA,42,2015,141047,22.69,6538129
237,Pennsylvania,US.PA,42,2016,139409,29.41,6523033
238,Pennsylvania,US.PA,42,2017,137745,29.04,6534208
239,Pennsylvania,US.PA,42,2018,135673,21.37,6532400
240,Pennsylvania,US.PA,42,2019,134230,29.05,6527628
241,South Carolina,US.SC,45,2009,60620,37.94,2357030
242,South Carolina,US.SC,45,2010,58342,30.85,2375263
243,South Carolina,US.SC,45,2011,57393,33.11,2402602
244,South Carolina,US.SC,45,2012,57155,27.99,2426510
245,South Carolina,US.SC,45,2013,56795,29.93,2451720
246,South Carolina,US.SC,45,2014,57627,41.65,2483088
247,South Carolina,US.SC,45,2015,58139,34.4,2517178
248,South Carolina,US.SC,45,2016,57342,48.83,2553185
249,South Carolina,US.SC,45,2017,57029,42.08,2586682
250,South Carolina,US.SC,45,2018,56669,28.23,2620801
251,South Carolina,US.SC,45,2019,57038,42.08,2655575
252,Tennessee,US.TN,47,2009,82211,12.16,3231769
253,Tennessee,US.TN,47,2012,80371,49.77,3307480
254,Tennessee,US.TN,47,2013,79992,35.0,3328884
255,Tennessee,US.TN,47,2014,81602,29.41,3357172
256,Tennessee,US.TN,47,2015,81685,35.5,3382838
257,Tennessee,US.TN,47,2016,80807,30.94,3408679
258,Tennessee,US.TN,47,2017,81016,48.14,3440018
259,Tennessee,US.TN,47,2018,80751,33.44,3467086
260,Tennessee,US.TN,47,2019,80450,37.29,3496935
261,Texas,US.TX,48,2009,401977,31.59,12500150
262,Texas,US.TX,48,2010,386118,26.16,12673281
263,Texas,US.TX,48,2011,377445,34.71,12932239
264,Texas,US.TX,48,2012,382727,41.54,13111469
265,Texas,US.TX,48,2013,387340,43.37,13301191
266,Texas,US.TX,48,2014,399766,36.77,13574572
267,Texas,US.TX,48,2015,403618,38.9,13831324
268,Texas,US.TX,48,2016,398047,38.44,14031164
269,Texas,US.TX,48,2017,382050,38.48,14242803
270,Texas,US.TX,48,2018,378624,24.83,14441739
271,Texas,US.TX,48,2019,377599,23.57,14593179
272,Utah,US.UT,49,2013,50957,31.4,1441891
273,Utah,US.UT,49,2014,51154,23.46,1463152
274,Utah,US.UT,49,2015,50778,25.6,1488819
275,Utah,US.UT,49,2017,48585,20.58,1540145
276,Utah,US.UT,49,2019,46826,29.9,1591041
277,Virginia,US.VA,51,2009,105059,10.47,4037895
278,Virginia,US.VA,51,2011,102652,17.53,4120439
279,Virginia,US.VA,51,2012,103013,13.59,4164342
280,Virginia,US.VA,51,2013,102147,14.68,4198203
281,Virginia,US.VA,51,2014,103300,17.42,4231045
282,Virginia,US.VA,51,2015,103303,30.01,4258228
283,Virginia,US.VA,51,2016,102460,45.87,4274994
284,Virginia,US.VA,51,2017,100391,39.84,4303293
285,Virginia,US.VA,51,2018,99843,23.04,4327037
286,Virginia,US.VA,51,2019,97429,32.84,4335262
287,Washington,US.WA,53,2009,89313,13.44,3343920
288,Washington,US.WA,53,2010,86539,12.71,3374833
289,Washington,US.WA,53,2011,86976,16.1,3420356
290,Washington,US.WA,53,2012,87463,19.44,3455462
291,Washington,US.WA,53,2013,86577,23.1,3488736
292,Washington,US.WA,53,2014,88585,22.58,3531595
293,Washington,US.WA,53,2015,88990,12.36,3585353
294,Washington,US.WA,53,2016,90505,13.26,3646600
295,Washington,US.WA,53,2017,87562,27.41,3702270
296,Washington,US.WA,53,2018,86085,24.39,3765680
297,Washington,US.WA,53,2019,84895,36.52,3802910
298,West Virginia,US.WV,54,2018,18248,54.8,911492
299,Wisconsin,US.WI,55,2009,70843,18.35,2856103
300,Wisconsin,US.WI,55,2010,68487,17.52,2864586
301,Wisconsin,US.WI,55,2011,67810,22.12,2875675
302,Wisconsin,US.WI,55,2013,66649,18.0,2890553
303,Wisconsin,US.WI,55,2014,67161,23.82,2898057
304,Wisconsin,US.WI,55,2015,67041,16.41,2903737
305,Wisconsin,US.WI,55,2016,66615,22.52,2905282
306,Wisconsin,US.WI,55,2017,64975,18.47,2912745
307,Wisconsin,US.WI,55,2019,63270,20.55,2925225
