state_name,ahi_rank,ahi_value,ahi_score,ahi_lower_ci,ahi_upper_ci,ai_rank,ai_value,ai_score,ai_lower_ci,ai_upper_ci,apc_rank,apc_value,apc_score,apc_lower_ci,apc_upper_ci,ac_rank,ac_value,ac_score,ac_lower_ci,ac_upper_ci,dhcp_rank,dhcp_value,dhcp_score,dhcp_lower_ci,dhcp_upper_ci,ds_rank,ds_value,ds_score,ds_lower_ci,ds_upper_ci,im_rank,im_value,im_score,im_lower_ci,im_upper_ci,how_rank,how_value,how_score,how_lower_ci,how_upper_ci,mm_rank,mm_value,mm_score,mm_lower_ci,mm_upper_ci,mpinc_rank,mpinc_value,mpinc_score,mpinc_lower_ci,mpinc_upper_ci,mow_rank,mow_value,mow_score,mow_lower_ci,mow_upper_ci,pw_rank,pw_value,pw_score,pw_lower_ci,pw_upper_ci,ow_rank,ow_value,ow_score,ow_lower_ci,ow_upper_ci,ppv_rank,ppv_value,ppv_score,ppv_lower_ci,ppv_upper_ci,pctt_rank,pctt_value,pctt_score,pctt_lower_ci,pctt_upper_ci,pfhs_rank,pfhs_value,pfhs_score,pfhs_lower_ci,pfhs_upper_ci,rpa_rank,rpa_value,rpa_score,rpa_lower_ci,rpa_upper_ci,uw_rank,uw_value,uw_score,uw_lower_ci,uw_upper_ci,wwv_rank,wwv_value,wwv_score,wwv_lower_ci,wwv_upper_ci,wic_rank,wic_value,wic_score,wic_lower_ci,wic_upper_ci
Alaska,8.0,78.5,1.0,81.5,75.5,18.0,69.3,0.38,73.2,65.5,48.0,67.3,-1.64,0.0,0.0,34.0,19.1,0.16,23.1,15.2,43.0,69.0,-0.59,73.5,64.5,6.0,42.3,1.32,51.8,32.7,26.0,6.1,0.16,0.0,0.0,3.0,0.049,0.049,0.0,0.0,1.0,12.4,-1.43,0.0,0.0,13.0,82.0,0.49,0.0,0.0,41.0,133.9,1.31,154.3,113.5,16.0,0.036000000000000004,0.036000000000000004,0.0,0.0,30.0,0.003,0.003,0.0,0.0,0.0,87.6,-1.01,90.0,85.3,23.0,94.2,0.25,0.0,0.0,1.0,63.0,2.0,0.0,0.0,15.0,23.6,-0.47,0.0,0.0,42.0,16.7,0.91,18.9,14.6,49.0,52.7,-2.0,57.7,47.7,42.0,43.9,-1.41,0.0,0.0
Alabama,2.0,81.2,1.63,84.2,78.1,10.0,71.1,0.77,74.9,67.2,37.0,73.9,-0.41,0.0,0.0,45.0,23.3,1.14,25.5,21.0,26.0,73.1,0.01,75.5,70.7,37.0,26.6,-0.53,35.6,17.6,49.0,8.7,2.0,0.0,0.0,44.0,-0.053,-0.053,0.0,0.0,39.0,34.5,0.41,0.0,0.0,46.0,72.0,-1.14,0.0,0.0,47.0,144.9,1.71,153.3,136.5,30.0,-0.003,-0.003,0.0,0.0,42.0,-0.168,-0.168,0.0,0.0,0.0,88.7,-0.6,91.0,86.5,42.0,92.5,-0.61,0.0,0.0,12.0,31.0,0.45,0.0,0.0,46.0,32.400002,1.15,0.0,0.0,39.0,15.0,0.55,15.9,14.0,29.0,65.8,-0.13,68.4,63.3,11.0,53.3,0.19,0.0,0.0
United States,0.0,74.4,0.0,75.1,73.6,0.0,67.5,0.0,68.4,66.6,0.0,76.1,0.0,0.0,0.0,0.0,18.4,0.0,18.8,18.0,0.0,73.0,0.0,73.4,72.5,0.0,31.1,0.0,33.3,28.9,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,98.0,0.0,98.8,97.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.3,0.0,90.7,89.8,0.0,93.7,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,12.4,0.0,12.5,12.3,0.0,66.5,0.0,67.0,66.1,0.0,52.2,0.0,0.0,0.0
Arkansas,6.0,78.9,1.08,82.2,75.6,15.0,69.8,0.49,73.7,65.9,42.0,71.9,-0.78,0.0,0.0,47.0,24.6,1.45,28.3,20.8,24.0,73.5,0.07,77.6,69.4,21.0,35.2,0.48,49.4,20.9,47.0,7.9,1.62,0.0,0.0,48.0,-0.07,-0.07,0.0,0.0,46.0,44.5,1.24,0.0,0.0,49.0,67.0,-1.95,0.0,0.0,42.0,139.6,1.52,150.2,129.1,24.0,0.015,0.015,0.0,0.0,48.0,-0.239,-0.239,0.0,0.0,0.0,85.8,-1.68,89.5,82.0,48.0,90.0,-1.87,0.0,0.0,17.0,29.0,0.27,0.0,0.0,38.0,29.799999,0.67,0.0,0.0,26.0,11.6,-0.17,12.7,10.4,42.0,60.1,-1.14,64.4,55.7,39.0,45.7,-1.11,0.0,0.0
Arizona,35.0,72.1,-0.54,75.5,68.7,44.0,62.8,-1.0,66.8,58.8,43.0,71.7,-0.82,0.0,0.0,35.0,19.5,0.26,21.5,17.4,44.0,66.0,-1.04,68.3,63.6,31.0,29.2,-0.23,39.7,18.6,16.0,5.4,-0.4,0.0,0.0,14.0,0.024,0.024,0.0,0.0,29.0,27.3,-0.19,0.0,0.0,26.0,79.0,0.0,0.0,0.0,26.0,102.6,0.17,108.5,96.6,42.0,-0.039,-0.039,0.0,0.0,36.0,-0.122,-0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,91.0,-1.37,0.0,0.0,46.0,15.0,-0.99,0.0,0.0,39.0,30.299999,0.76,0.0,0.0,36.0,13.3,0.19,14.0,12.6,41.0,61.0,-0.98,63.5,58.6,32.0,48.2,-0.68,0.0,0.0
California,9.0,78.1,0.9,81.3,74.9,5.0,73.4,1.26,77.2,69.6,19.0,78.9,0.52,0.0,0.0,19.0,15.5,-0.68,16.9,14.1,38.0,70.8,-0.33,72.6,69.0,47.0,22.2,-1.04,31.2,13.2,4.0,4.3,-1.29,0.0,0.0,2.0,0.063,0.063,0.0,0.0,7.0,17.6,-1.0,0.0,0.0,7.0,85.0,0.98,0.0,0.0,1.0,64.4,-1.23,66.3,62.5,2.0,0.08800000000000001,0.08800000000000001,0.0,0.0,7.0,0.19699999999999998,0.19699999999999998,0.0,0.0,0.0,87.5,-1.04,88.7,86.4,7.0,96.2,1.27,0.0,0.0,3.0,50.0,2.0,0.0,0.0,25.0,26.4,0.04,0.0,0.0,19.0,9.3,-0.65,9.6,9.1,32.0,64.2,-0.41,66.1,62.3,2.0,63.8,1.98,0.0,0.0
Colorado,46.0,68.5,-1.39,72.0,65.1,42.0,63.1,-0.94,67.1,59.0,49.0,66.7,-1.75,0.0,0.0,26.0,17.7,-0.16,19.3,16.1,40.0,69.8,-0.48,71.7,68.0,3.0,49.9,2.0,61.6,38.3,8.0,4.7,-0.97,0.0,0.0,6.0,0.044000000000000004,0.044000000000000004,0.0,0.0,15.0,21.9,-0.64,0.0,0.0,7.0,85.0,0.98,0.0,0.0,14.0,85.9,-0.44,91.8,80.1,10.0,0.052000000000000005,0.052000000000000005,0.0,0.0,8.0,0.185,0.185,0.0,0.0,0.0,91.7,0.52,93.4,89.9,25.0,94.0,0.15,0.0,0.0,7.0,38.0,1.08,0.0,0.0,6.0,18.9,-1.34,0.0,0.0,23.0,10.1,-0.48,10.7,9.4,44.0,59.1,-1.32,61.1,57.1,47.0,41.3,-1.86,0.0,0.0
Connecticut,36.0,71.9,-0.58,75.3,68.6,21.0,69.2,0.36,73.0,65.4,10.0,81.3,0.97,0.0,0.0,8.0,13.6,-1.12,15.3,11.8,11.0,80.6,1.13,82.7,78.5,16.0,36.9,0.68,48.3,25.4,12.0,5.2,-0.57,0.0,0.0,19.0,0.017,0.017,0.0,0.0,8.0,19.0,-0.88,0.0,0.0,10.0,83.0,0.65,0.0,0.0,11.0,84.8,-0.48,92.5,77.1,5.0,0.073,0.073,0.0,0.0,5.0,0.21899999999999997,0.21899999999999997,0.0,0.0,0.0,93.8,1.3,95.2,92.3,3.0,96.7,1.52,0.0,0.0,7.0,38.0,1.08,0.0,0.0,11.0,20.799999,-0.99,0.0,0.0,8.0,7.1,-1.12,7.9,6.4,10.0,70.3,0.68,72.7,68.0,36.0,47.2,-0.85,0.0,0.0
District of Columbia,0.0,82.0,0.0,85.3,78.7,0.0,76.8,0.0,80.9,72.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,14.9,10.4,0.0,70.1,0.0,73.0,67.1,0.0,31.6,0.0,39.8,23.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,73.0,0.0,86.0,60.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,3.5,0.0,4.5,2.6,0.0,77.4,0.0,80.1,74.7,0.0,48.2,0.0,0.0,0.0
Delaware,21.0,75.1,0.18,78.5,71.8,11.0,70.9,0.73,74.7,67.1,31.0,76.0,-0.02,0.0,0.0,24.0,17.3,-0.26,20.1,14.5,19.0,76.8,0.56,80.0,73.6,42.0,24.8,-0.74,32.9,16.6,48.0,8.5,2.0,0.0,0.0,23.0,0.011000000000000001,0.011000000000000001,0.0,0.0,4.0,16.9,-1.06,0.0,0.0,2.0,90.0,1.79,0.0,0.0,34.0,115.7,0.65,132.8,98.5,15.0,0.042,0.042,0.0,0.0,26.0,0.036000000000000004,0.036000000000000004,0.0,0.0,0.0,86.9,0.0,89.3,84.4,37.0,93.3,-0.2,0.0,0.0,15.0,30.0,0.36,0.0,0.0,33.0,28.6,0.45,0.0,0.0,14.0,8.1,-0.91,9.8,6.4,4.0,73.0,1.16,76.4,69.6,24.0,50.2,-0.34,0.0,0.0
Florida,27.0,74.2,-0.04,77.8,70.6,41.0,63.3,-0.9,67.5,59.1,44.0,71.5,-0.86,0.0,0.0,48.0,25.3,1.61,27.3,23.3,47.0,63.0,-1.49,65.1,60.9,50.0,16.0,-1.78,22.5,9.5,29.0,6.2,0.24,0.0,0.0,31.0,-0.006,-0.006,0.0,0.0,32.0,28.1,-0.12,0.0,0.0,21.0,80.0,0.16,0.0,0.0,31.0,110.8,0.47,114.4,107.2,48.0,-0.07400000000000001,-0.07400000000000001,0.0,0.0,37.0,-0.132,-0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,92.4,-0.66,0.0,0.0,41.0,17.0,-0.81,0.0,0.0,43.0,32.200001,1.11,0.0,0.0,46.0,19.1,1.41,19.6,18.5,15.0,69.3,0.5,71.3,67.3,18.0,51.2,-0.17,0.0,0.0
Georgia,24.0,74.6,0.07,78.3,71.0,36.0,64.4,-0.66,68.4,60.4,35.0,74.5,-0.3,0.0,0.0,39.0,21.8,0.79,24.1,19.5,44.0,66.0,-1.04,68.7,63.4,7.0,40.8,1.14,52.3,29.2,45.0,7.6,1.38,0.0,0.0,37.0,-0.028999999999999998,-0.028999999999999998,0.0,0.0,49.0,66.3,2.0,0.0,0.0,37.0,75.0,-0.65,0.0,0.0,29.0,106.4,0.31,111.2,101.6,49.0,-0.085,-0.085,0.0,0.0,43.0,-0.16899999999999998,-0.16899999999999998,0.0,0.0,0.0,91.0,0.26,93.6,88.3,45.0,91.5,-1.11,0.0,0.0,44.0,16.0,-0.9,0.0,0.0,40.0,30.5,0.8,0.0,0.0,48.0,20.2,1.64,21.0,19.3,12.0,70.0,0.63,72.6,67.4,41.0,45.3,-1.17,0.0,0.0
Hawaii,1.0,82.9,2.0,85.7,80.1,1.0,82.5,2.0,85.7,79.4,47.0,69.2,-1.29,0.0,0.0,3.0,10.7,-1.8,12.4,8.9,9.0,81.9,1.32,83.9,79.9,10.0,39.1,0.94,49.9,28.3,21.0,5.8,-0.08,0.0,0.0,21.0,0.016,0.016,0.0,0.0,18.0,22.9,-0.56,0.0,0.0,21.0,80.0,0.16,0.0,0.0,9.0,82.2,-0.58,94.0,70.5,14.0,0.045,0.045,0.0,0.0,9.0,0.184,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,92.9,-0.4,0.0,0.0,28.0,25.0,-0.09,0.0,0.0,23.0,26.1,-0.01,0.0,0.0,3.0,5.5,-1.45,6.6,4.4,19.0,68.0,0.27,70.4,65.5,17.0,51.7,-0.09,0.0,0.0
Iowa,13.0,77.5,0.74,80.6,74.3,23.0,69.0,0.32,72.8,65.2,5.0,85.1,1.68,0.0,0.0,4.0,10.8,-1.77,12.4,9.1,9.0,81.9,1.32,84.0,79.8,34.0,28.4,-0.31,36.8,20.0,11.0,5.1,-0.65,0.0,0.0,4.0,0.048,0.048,0.0,0.0,25.0,26.5,-0.26,0.0,0.0,37.0,75.0,-0.65,0.0,0.0,7.0,79.6,-0.67,87.5,71.7,12.0,0.049,0.049,0.0,0.0,6.0,0.209,0.209,0.0,0.0,0.0,94.2,1.45,96.3,92.1,12.0,95.6,0.96,0.0,0.0,17.0,29.0,0.27,0.0,0.0,16.0,23.700001,-0.45,0.0,0.0,5.0,6.7,-1.2,7.5,5.9,22.0,67.1,0.11,69.6,64.7,37.0,46.7,-0.94,0.0,0.0
Idaho,20.0,75.7,0.33,78.9,72.5,8.0,71.6,0.88,75.1,68.2,11.0,81.1,0.93,0.0,0.0,37.0,20.8,0.56,23.5,18.1,39.0,70.4,-0.39,73.5,67.4,43.0,24.4,-0.79,33.3,15.5,15.0,5.3,-0.49,0.0,0.0,27.0,0.005,0.005,0.0,0.0,37.0,32.8,0.27,0.0,0.0,27.0,78.0,-0.16,0.0,0.0,17.0,87.9,-0.37,99.1,76.7,45.0,-0.046,-0.046,0.0,0.0,29.0,0.005,0.005,0.0,0.0,0.0,94.4,1.53,95.7,92.7,11.0,95.8,1.06,0.0,0.0,35.0,21.0,-0.45,0.0,0.0,19.0,25.4,-0.14,0.0,0.0,43.0,16.8,0.93,18.5,15.1,50.0,52.6,-2.0,56.0,49.3,43.0,42.7,-1.62,0.0,0.0
Illinois,44.0,68.9,-1.31,72.3,65.4,39.0,63.7,-0.81,67.8,59.5,27.0,76.5,0.07,0.0,0.0,19.0,15.5,-0.68,17.6,13.4,13.0,79.3,0.94,81.6,77.0,12.0,37.4,0.75,48.1,26.8,29.0,6.2,0.24,0.0,0.0,24.0,0.01,0.01,0.0,0.0,13.0,21.4,-0.68,0.0,0.0,19.0,81.0,0.33,0.0,0.0,16.0,87.2,-0.39,91.2,83.3,27.0,0.0,0.0,0.0,0.0,27.0,0.013999999999999999,0.013999999999999999,0.0,0.0,0.0,92.4,0.78,94.1,90.7,25.0,94.0,0.15,0.0,0.0,36.0,20.0,-0.54,0.0,0.0,28.0,27.299999,0.21,0.0,0.0,22.0,9.8,-0.55,10.3,9.3,26.0,66.5,0.0,69.2,63.8,44.0,42.6,-1.63,0.0,0.0
Indiana,24.0,74.6,0.05,78.0,71.2,35.0,65.2,-0.49,69.2,61.2,21.0,78.2,0.39,0.0,0.0,32.0,18.8,0.09,20.6,17.0,14.0,79.1,0.91,81.0,77.3,33.0,29.0,-0.24,38.0,20.1,43.0,7.4,1.21,0.0,0.0,47.0,-0.068,-0.068,0.0,0.0,48.0,50.2,1.71,0.0,0.0,21.0,80.0,0.16,0.0,0.0,38.0,123.9,0.95,130.6,117.2,34.0,-0.016,-0.016,0.0,0.0,41.0,-0.152,-0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,93.7,0.0,0.0,0.0,39.0,19.0,-0.63,0.0,0.0,19.0,25.4,-0.14,0.0,0.0,27.0,11.7,-0.15,12.4,11.0,34.0,63.8,-0.48,66.0,61.7,29.0,49.2,-0.51,0.0,0.0
Kansas,23.0,74.8,0.12,78.2,71.5,34.0,65.3,-0.47,69.4,61.2,8.0,83.5,1.38,0.0,0.0,25.0,17.5,-0.21,18.9,16.2,27.0,72.8,-0.03,74.5,71.2,11.0,37.8,0.78,49.8,25.7,25.0,6.0,0.08,0.0,0.0,11.0,0.03,0.03,0.0,0.0,26.0,26.6,-0.25,0.0,0.0,35.0,76.0,-0.49,0.0,0.0,21.0,98.5,0.02,107.6,89.5,40.0,-0.032,-0.032,0.0,0.0,28.0,0.012,0.012,0.0,0.0,0.0,89.4,-0.34,92.0,86.8,7.0,96.2,1.27,0.0,0.0,41.0,17.0,-0.81,0.0,0.0,7.0,19.299999,-1.26,0.0,0.0,35.0,13.1,0.15,14.0,12.1,35.0,62.8,-0.66,64.6,61.0,27.0,49.5,-0.46,0.0,0.0
Kentucky,16.0,77.0,0.63,80.5,73.4,21.0,69.2,0.36,73.2,65.2,14.0,80.0,0.73,0.0,0.0,17.0,15.3,-0.72,17.3,13.3,18.0,76.9,0.58,79.2,74.5,47.0,22.2,-1.04,30.4,14.0,36.0,6.7,0.65,0.0,0.0,49.0,-0.071,-0.071,0.0,0.0,34.0,32.4,0.23,0.0,0.0,43.0,73.0,-0.98,0.0,0.0,49.0,155.5,2.0,164.7,146.4,18.0,0.031,0.031,0.0,0.0,39.0,-0.135,-0.135,0.0,0.0,0.0,89.3,-0.37,92.2,86.3,20.0,94.5,0.4,0.0,0.0,31.0,24.0,-0.18,0.0,0.0,41.0,30.9,0.87,0.0,0.0,8.0,7.1,-1.12,7.7,6.5,7.0,71.6,0.91,74.0,69.1,18.0,51.2,-0.17,0.0,0.0
Louisiana,6.0,78.9,1.08,82.3,75.4,12.0,70.8,0.7,74.7,67.0,22.0,78.1,0.37,0.0,0.0,41.0,21.9,0.82,24.7,19.1,27.0,72.8,-0.03,76.0,69.6,46.0,22.3,-1.04,33.6,10.9,46.0,7.8,1.54,0.0,0.0,50.0,-0.096,-0.096,0.0,0.0,50.0,72.0,2.0,0.0,0.0,35.0,76.0,-0.49,0.0,0.0,43.0,140.8,1.56,149.1,132.5,37.0,-0.025,-0.025,0.0,0.0,50.0,-0.284,-0.284,0.0,0.0,0.0,84.9,-2.0,87.4,82.4,28.0,93.9,0.1,0.0,0.0,46.0,15.0,-0.99,0.0,0.0,47.0,33.900002,1.43,0.0,0.0,24.0,11.3,-0.23,12.1,10.4,12.0,70.0,0.63,73.1,66.9,34.0,47.9,-0.73,0.0,0.0
Massachusetts,36.0,71.9,-0.59,75.3,68.5,18.0,69.3,0.38,73.0,65.5,9.0,82.5,1.19,0.0,0.0,2.0,10.5,-1.84,12.3,8.6,4.0,85.4,1.84,87.6,83.2,9.0,39.2,0.95,49.5,28.9,3.0,4.1,-1.46,0.0,0.0,12.0,0.027999999999999997,0.027999999999999997,0.0,0.0,2.0,13.7,-1.32,0.0,0.0,5.0,87.0,1.3,0.0,0.0,10.0,82.7,-0.56,87.9,77.4,6.0,0.061,0.061,0.0,0.0,3.0,0.267,0.267,0.0,0.0,0.0,92.4,0.78,94.0,90.8,17.0,95.0,0.66,0.0,0.0,28.0,25.0,-0.09,0.0,0.0,12.0,22.1,-0.75,0.0,0.0,1.0,3.3,-1.92,3.7,2.9,2.0,73.9,1.32,76.4,71.4,9.0,53.9,0.29,0.0,0.0
Maryland,12.0,77.6,0.77,80.8,74.3,6.0,73.2,1.22,76.9,69.4,45.0,71.3,-0.89,0.0,0.0,13.0,14.7,-0.86,16.5,13.0,12.0,79.8,1.01,81.7,77.9,17.0,36.6,0.65,47.2,26.1,35.0,6.6,0.57,0.0,0.0,34.0,-0.016,-0.016,0.0,0.0,22.0,25.0,-0.38,0.0,0.0,13.0,82.0,0.49,0.0,0.0,25.0,102.1,0.15,108.3,95.8,20.0,0.026000000000000002,0.026000000000000002,0.0,0.0,17.0,0.113,0.113,0.0,0.0,0.0,90.2,-0.04,92.3,88.0,39.0,93.1,-0.3,0.0,0.0,28.0,25.0,-0.09,0.0,0.0,13.0,23.0,-0.58,0.0,0.0,15.0,8.3,-0.86,8.9,7.8,9.0,70.7,0.75,72.8,68.7,1.0,64.1,2.0,0.0,0.0
Maine,36.0,71.9,-0.58,75.2,68.7,31.0,66.9,-0.13,70.6,63.3,3.0,86.3,1.9,0.0,0.0,26.0,17.7,-0.16,20.1,15.4,1.0,87.5,2.0,89.5,85.4,20.0,35.7,0.55,47.2,24.3,29.0,6.2,0.24,0.0,0.0,26.0,0.006,0.006,0.0,0.0,20.0,23.8,-0.48,0.0,0.0,9.0,84.0,0.81,0.0,0.0,20.0,93.2,-0.18,106.9,79.6,21.0,0.024,0.024,0.0,0.0,20.0,0.085,0.085,0.0,0.0,0.0,93.7,1.27,95.6,91.8,4.0,96.4,1.37,0.0,0.0,10.0,33.0,0.63,0.0,0.0,29.0,27.5,0.25,0.0,0.0,30.0,12.0,-0.08,13.4,10.6,20.0,67.9,0.25,70.7,65.1,22.0,50.6,-0.27,0.0,0.0
