state_name,ahi_rank,ahi_value,ahi_score,ahi_lower_ci,ahi_upper_ci,ai_rank,ai_value,ai_score,ai_lower_ci,ai_upper_ci,apc_rank,apc_value,apc_score,apc_lower_ci,apc_upper_ci,ac_rank,ac_value,ac_score,ac_lower_ci,ac_upper_ci,dhcp_rank,dhcp_value,dhcp_score,dhcp_lower_ci,dhcp_upper_ci,ds_rank,ds_value,ds_score,ds_lower_ci,ds_upper_ci,im_rank,im_value,im_score,im_lower_ci,im_upper_ci,how_rank,how_value,how_score,how_lower_ci,how_upper_ci,mm_rank,mm_value,mm_score,mm_lower_ci,mm_upper_ci,mpinc_rank,mpinc_value,mpinc_score,mpinc_lower_ci,mpinc_upper_ci,mow_rank,mow_value,mow_score,mow_lower_ci,mow_upper_ci,pw_rank,pw_value,pw_score,pw_lower_ci,pw_upper_ci,ow_rank,ow_value,ow_score,ow_lower_ci,ow_upper_ci,ppv_rank,ppv_value,ppv_score,ppv_lower_ci,ppv_upper_ci,pctt_rank,pctt_value,pctt_score,pctt_lower_ci,pctt_upper_ci,pfhs_rank,pfhs_value,pfhs_score,pfhs_lower_ci,pfhs_upper_ci,rpa_rank,rpa_value,rpa_score,rpa_lower_ci,rpa_upper_ci,uw_rank,uw_value,uw_score,uw_lower_ci,uw_upper_ci,wwv_rank,wwv_value,wwv_score,wwv_lower_ci,wwv_upper_ci,wic_rank,wic_value,wic_score,wic_lower_ci,wic_upper_ci
New Mexico,4.0,79.7,1.27,82.8,76.5,6.0,73.2,1.22,77.1,69.3,50.0,66.2,-1.85,0.0,0.0,21.0,15.6,-0.65,17.9,13.3,46.0,64.9,-1.2,68.0,61.8,18.0,36.5,0.63,49.3,23.6,18.0,5.6,-0.24,0.0,0.0,38.0,-0.03,-0.03,0.0,0.0,34.0,32.4,0.23,0.0,0.0,19.0,81.0,0.33,0.0,0.0,44.0,142.0,1.61,154.9,129.1,26.0,0.002,0.002,0.0,0.0,40.0,-0.151,-0.151,0.0,0.0,0.0,86.6,-1.38,88.6,84.6,50.0,88.5,-2.0,0.0,0.0,22.0,28.0,0.18,0.0,0.0,49.0,36.5,1.9,0.0,0.0,34.0,12.9,0.11,14.3,11.6,47.0,57.7,-1.57,60.9,54.5,45.0,42.4,-1.67,0.0,0.0
Nevada,41.0,69.7,-1.11,73.4,66.0,40.0,63.4,-0.88,67.4,59.3,38.0,73.8,-0.43,0.0,0.0,37.0,20.8,0.56,23.8,17.8,50.0,60.8,-1.81,64.5,57.1,44.0,24.1,-0.82,35.0,13.2,17.0,5.5,-0.32,0.0,0.0,17.0,0.019,0.019,0.0,0.0,3.0,14.0,-1.3,0.0,0.0,37.0,75.0,-0.65,0.0,0.0,24.0,101.7,0.14,110.6,92.9,47.0,-0.07,-0.07,0.0,0.0,44.0,-0.172,-0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,91.1,-1.32,0.0,0.0,49.0,10.0,-1.44,0.0,0.0,27.0,27.0,0.15,0.0,0.0,40.0,15.5,0.65,16.6,14.4,30.0,64.7,-0.32,68.2,61.1,14.0,52.5,0.05,0.0,0.0
New York,15.0,77.1,0.66,80.2,74.0,3.0,74.6,1.52,78.4,70.8,31.0,76.0,-0.02,0.0,0.0,11.0,14.5,-0.91,15.8,13.2,16.0,78.3,0.79,79.9,76.8,45.0,23.1,-0.93,33.8,12.4,6.0,4.6,-1.05,0.0,0.0,15.0,0.023,0.023,0.0,0.0,23.0,25.5,-0.34,0.0,0.0,13.0,82.0,0.49,0.0,0.0,2.0,67.0,-1.13,69.7,64.2,10.0,0.052000000000000005,0.052000000000000005,0.0,0.0,14.0,0.155,0.155,0.0,0.0,0.0,89.6,-0.26,91.4,87.9,17.0,95.0,0.66,0.0,0.0,11.0,32.0,0.54,0.0,0.0,30.0,27.9,0.32,0.0,0.0,12.0,7.5,-1.03,7.8,7.2,7.0,71.6,0.91,73.3,70.0,8.0,54.5,0.39,0.0,0.0
Ohio,24.0,74.6,0.05,77.9,71.2,29.0,67.8,0.06,71.7,64.0,29.0,76.3,0.04,0.0,0.0,7.0,13.2,-1.21,14.9,11.6,14.0,79.1,0.91,81.1,77.1,24.0,33.3,0.26,44.3,22.4,41.0,7.3,1.13,0.0,0.0,42.0,-0.040999999999999995,-0.040999999999999995,0.0,0.0,21.0,24.7,-0.41,0.0,0.0,21.0,80.0,0.16,0.0,0.0,45.0,143.2,1.65,148.6,137.7,29.0,-0.002,-0.002,0.0,0.0,33.0,-0.055,-0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,93.7,0.0,0.0,0.0,48.0,14.0,-1.08,0.0,0.0,32.0,28.299999,0.39,0.0,0.0,12.0,7.5,-1.03,7.9,7.0,10.0,70.3,0.68,72.5,68.1,28.0,49.3,-0.49,0.0,0.0
Oklahoma,17.0,76.3,0.46,79.5,73.0,25.0,68.4,0.19,72.1,64.7,30.0,76.2,0.02,0.0,0.0,43.0,22.5,0.96,24.9,20.2,42.0,69.2,-0.56,71.8,66.7,29.0,30.9,-0.02,41.1,20.8,43.0,7.4,1.21,0.0,0.0,40.0,-0.033,-0.033,0.0,0.0,38.0,33.9,0.36,0.0,0.0,27.0,78.0,-0.16,0.0,0.0,40.0,132.9,1.27,141.9,124.0,46.0,-0.05,-0.05,0.0,0.0,45.0,-0.175,-0.175,0.0,0.0,0.0,86.7,-1.34,89.1,84.3,40.0,93.0,-0.35,0.0,0.0,12.0,31.0,0.45,0.0,0.0,31.0,28.0,0.34,0.0,0.0,49.0,21.7,1.96,22.5,20.8,31.0,64.4,-0.38,67.1,61.8,15.0,51.8,-0.07,0.0,0.0
Oregon,19.0,76.0,0.38,79.3,72.6,24.0,68.8,0.28,72.9,64.8,17.0,79.1,0.56,0.0,0.0,32.0,18.8,0.09,21.0,16.5,30.0,72.3,-0.1,74.8,69.7,1.0,60.0,2.0,72.5,47.4,9.0,4.9,-0.81,0.0,0.0,6.0,0.044000000000000004,0.044000000000000004,0.0,0.0,10.0,19.5,-0.84,0.0,0.0,6.0,86.0,1.14,0.0,0.0,8.0,80.4,-0.64,87.1,73.7,7.0,0.06,0.06,0.0,0.0,21.0,0.08199999999999999,0.08199999999999999,0.0,0.0,0.0,89.5,-0.3,91.8,86.6,13.0,95.5,0.91,0.0,0.0,6.0,39.0,1.17,0.0,0.0,45.0,32.299999,1.13,0.0,0.0,20.0,9.4,-0.63,10.2,8.6,46.0,57.9,-1.54,60.6,55.2,6.0,55.4,0.54,0.0,0.0
Pennsylvania,10.0,77.9,0.84,80.9,74.8,18.0,69.3,0.38,73.3,65.4,33.0,75.4,-0.13,0.0,0.0,10.0,13.8,-1.07,15.7,11.9,8.0,82.0,1.34,84.1,79.9,39.0,26.1,-0.58,34.4,17.9,29.0,6.2,0.24,0.0,0.0,35.0,-0.021,-0.021,0.0,0.0,24.0,26.1,-0.29,0.0,0.0,27.0,78.0,-0.16,0.0,0.0,37.0,118.5,0.75,123.3,113.7,13.0,0.046,0.046,0.0,0.0,24.0,0.055999999999999994,0.055999999999999994,0.0,0.0,0.0,90.5,0.07,92.5,88.5,35.0,93.4,-0.15,0.0,0.0,17.0,29.0,0.27,0.0,0.0,26.0,26.9,0.14,0.0,0.0,8.0,7.1,-1.12,7.5,6.7,28.0,65.9,-0.11,68.5,63.3,26.0,49.8,-0.41,0.0,0.0
Rhode Island,3.0,79.8,1.3,82.8,76.8,4.0,74.1,1.41,77.8,70.5,2.0,86.6,1.96,0.0,0.0,15.0,14.9,-0.82,17.5,12.3,3.0,85.6,1.87,88.2,83.0,30.0,29.7,-0.16,39.6,19.9,19.0,5.7,-0.16,0.0,0.0,16.0,0.02,0.02,0.0,0.0,8.0,19.0,-0.88,0.0,0.0,1.0,96.0,2.0,0.0,0.0,6.0,79.4,-0.68,92.7,66.1,4.0,0.07400000000000001,0.07400000000000001,0.0,0.0,4.0,0.259,0.259,0.0,0.0,0.0,92.5,0.82,94.4,90.6,2.0,98.0,2.0,0.0,0.0,9.0,35.0,0.81,0.0,0.0,34.0,29.0,0.52,0.0,0.0,4.0,5.7,-1.41,6.8,4.5,1.0,78.5,2.0,81.5,75.5,3.0,60.8,1.46,0.0,0.0
South Carolina,28.0,74.1,-0.07,77.6,70.5,32.0,66.0,-0.32,70.1,62.0,25.0,77.1,0.19,0.0,0.0,42.0,22.2,0.89,24.2,20.3,30.0,72.3,-0.1,74.4,70.1,38.0,26.4,-0.55,36.0,16.8,38.0,7.0,0.89,0.0,0.0,46.0,-0.061,-0.061,0.0,0.0,43.0,39.4,0.82,0.0,0.0,27.0,78.0,-0.16,0.0,0.0,39.0,127.4,1.07,135.2,119.6,35.0,-0.017,-0.017,0.0,0.0,46.0,-0.184,-0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,93.4,-0.15,0.0,0.0,12.0,31.0,0.45,0.0,0.0,42.0,31.6,1.0,0.0,0.0,44.0,16.9,0.95,17.8,15.9,39.0,61.7,-0.86,64.0,59.4,45.0,42.4,-1.67,0.0,0.0
South Dakota,49.0,66.3,-1.94,69.8,62.7,43.0,62.9,-0.98,66.9,58.9,36.0,74.2,-0.35,0.0,0.0,6.0,12.2,-1.45,14.8,9.6,27.0,72.8,-0.03,76.4,69.2,5.0,42.4,1.33,51.4,33.3,26.0,6.1,0.16,0.0,0.0,13.0,0.026000000000000002,0.026000000000000002,0.0,0.0,36.0,32.6,0.25,0.0,0.0,42.0,74.0,-0.81,0.0,0.0,30.0,110.1,0.44,128.1,92.2,31.0,-0.008,-0.008,0.0,0.0,12.0,0.162,0.162,0.0,0.0,0.0,91.2,0.34,92.7,89.8,28.0,93.9,0.1,0.0,0.0,24.0,27.0,0.09,0.0,0.0,21.0,25.5,-0.12,0.0,0.0,38.0,14.0,0.34,15.8,12.2,22.0,67.1,0.11,70.9,63.2,25.0,49.9,-0.39,0.0,0.0
Tennessee,14.0,77.2,0.68,80.3,74.1,14.0,70.2,0.58,73.8,66.6,40.0,73.6,-0.47,0.0,0.0,29.0,18.1,-0.07,20.5,15.7,23.0,74.3,0.19,77.0,71.5,13.0,37.2,0.72,48.3,26.1,39.0,7.1,0.97,0.0,0.0,45.0,-0.055999999999999994,-0.055999999999999994,0.0,0.0,41.0,35.8,0.52,0.0,0.0,46.0,72.0,-1.14,0.0,0.0,46.0,144.3,1.69,151.4,137.2,28.0,-0.001,-0.001,0.0,0.0,35.0,-0.107,-0.107,0.0,0.0,0.0,92.7,0.89,95.0,90.3,44.0,92.3,-0.71,0.0,0.0,25.0,26.0,0.0,0.0,0.0,43.0,32.200001,1.11,0.0,0.0,31.0,12.5,0.02,13.2,11.7,22.0,67.1,0.11,70.1,64.1,48.0,39.9,-2.0,0.0,0.0
Texas,39.0,71.4,-0.7,75.4,67.5,49.0,59.9,-1.62,64.3,55.4,46.0,69.5,-1.23,0.0,0.0,50.0,26.8,1.96,29.3,24.3,49.0,61.8,-1.66,64.4,59.1,21.0,35.2,0.49,46.0,24.5,19.0,5.7,-0.16,0.0,0.0,28.0,0.002,0.002,0.0,0.0,42.0,39.2,0.8,0.0,0.0,33.0,77.0,-0.33,0.0,0.0,15.0,87.1,-0.4,89.7,84.5,50.0,-0.115,-0.115,0.0,0.0,49.0,-0.261,-0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,89.8,-1.97,0.0,0.0,49.0,10.0,-1.44,0.0,0.0,34.0,29.0,0.52,0.0,0.0,50.0,25.6,2.0,26.1,25.2,38.0,61.9,-0.82,64.6,59.3,12.0,53.1,0.15,0.0,0.0
Utah,50.0,63.4,-2.0,66.9,59.9,50.0,58.9,-1.84,62.9,54.9,4.0,85.2,1.7,0.0,0.0,23.0,16.4,-0.47,17.9,14.9,40.0,69.8,-0.48,71.6,68.0,26.0,32.6,0.18,41.2,24.0,12.0,5.2,-0.57,0.0,0.0,10.0,0.036000000000000004,0.036000000000000004,0.0,0.0,19.0,23.0,-0.55,0.0,0.0,37.0,75.0,-0.65,0.0,0.0,17.0,87.9,-0.37,95.7,80.1,31.0,-0.008,-0.008,0.0,0.0,10.0,0.17800000000000002,0.17800000000000002,0.0,0.0,0.0,91.2,0.34,92.9,89.5,5.0,96.3,1.32,0.0,0.0,32.0,22.0,-0.36,0.0,0.0,2.0,15.3,-2.0,0.0,0.0,28.0,11.8,-0.13,12.6,10.9,48.0,55.8,-1.91,57.8,53.9,49.0,39.0,-2.0,0.0,0.0
Virginia,22.0,74.9,0.12,78.1,71.6,9.0,71.2,0.79,75.0,67.4,15.0,79.8,0.69,0.0,0.0,36.0,20.7,0.54,22.7,18.8,32.0,72.1,-0.13,74.2,69.9,32.0,29.1,-0.23,39.1,19.2,23.0,5.9,0.0,0.0,0.0,25.0,0.008,0.008,0.0,0.0,33.0,29.5,-0.01,0.0,0.0,21.0,80.0,0.16,0.0,0.0,19.0,90.3,-0.28,95.3,85.4,39.0,-0.027999999999999997,-0.027999999999999997,0.0,0.0,22.0,0.08,0.08,0.0,0.0,0.0,89.6,-0.26,92.6,86.6,14.0,95.2,0.76,0.0,0.0,41.0,17.0,-0.81,0.0,0.0,10.0,20.1,-1.12,0.0,0.0,31.0,12.5,0.02,13.1,11.8,16.0,68.9,0.43,71.1,66.7,39.0,45.7,-1.11,0.0,0.0
Vermont,5.0,79.3,1.18,82.1,76.5,2.0,76.7,1.96,79.9,73.4,1.0,91.1,2.0,0.0,0.0,1.0,10.1,-1.94,12.1,8.2,2.0,87.0,2.0,89.3,84.8,14.0,37.0,0.69,47.9,26.0,2.0,4.0,-1.54,0.0,0.0,22.0,0.013000000000000001,0.013000000000000001,0.0,0.0,26.0,26.6,-0.25,0.0,0.0,4.0,88.0,1.47,0.0,0.0,21.0,98.5,0.02,120.8,79.4,1.0,0.105,0.105,0.0,0.0,2.0,0.273,0.273,0.0,0.0,0.0,93.7,1.27,95.6,91.7,1.0,98.3,2.0,0.0,0.0,2.0,59.0,2.0,0.0,0.0,18.0,25.1,-0.19,0.0,0.0,7.0,6.9,-1.16,8.7,5.0,25.0,66.7,0.04,69.8,63.7,5.0,59.4,1.23,0.0,0.0
Washington,30.0,73.3,-0.25,76.6,70.0,28.0,67.9,0.09,72.0,63.8,34.0,74.9,-0.22,0.0,0.0,16.0,15.1,-0.77,16.6,13.7,34.0,71.9,-0.16,73.7,70.2,35.0,27.7,-0.4,37.0,18.3,6.0,4.6,-1.05,0.0,0.0,19.0,0.017,0.017,0.0,0.0,11.0,19.7,-0.82,0.0,0.0,10.0,83.0,0.65,0.0,0.0,3.0,71.2,-0.98,75.9,66.5,19.0,0.027000000000000003,0.027000000000000003,0.0,0.0,19.0,0.09,0.09,0.0,0.0,0.0,89.9,-0.15,91.9,87.8,28.0,93.9,0.1,0.0,0.0,25.0,26.0,0.0,0.0,0.0,21.0,25.5,-0.12,0.0,0.0,16.0,8.5,-0.82,9.1,7.9,40.0,61.5,-0.89,63.3,59.6,10.0,53.8,0.27,0.0,0.0
Wisconsin,42.0,69.6,-1.13,72.7,66.5,46.0,61.5,-1.28,65.5,57.6,7.0,83.7,1.42,0.0,0.0,12.0,14.6,-0.89,16.9,12.2,6.0,82.7,1.44,85.3,80.1,14.0,37.0,0.69,48.1,25.8,26.0,6.1,0.16,0.0,0.0,9.0,0.037000000000000005,0.037000000000000005,0.0,0.0,12.0,19.9,-0.81,0.0,0.0,13.0,82.0,0.49,0.0,0.0,11.0,84.8,-0.48,90.8,78.8,21.0,0.024,0.024,0.0,0.0,15.0,0.152,0.152,0.0,0.0,0.0,94.2,1.45,95.9,92.5,10.0,95.9,1.11,0.0,0.0,32.0,22.0,-0.36,0.0,0.0,17.0,24.9,-0.23,0.0,0.0,11.0,7.3,-1.08,7.9,6.8,18.0,68.2,0.3,71.2,65.1,35.0,47.4,-0.82,0.0,0.0
West Virginia,31.0,72.9,-0.35,76.6,69.2,27.0,68.1,0.13,72.0,64.2,28.0,76.4,0.06,0.0,0.0,26.0,17.7,-0.16,19.7,15.6,21.0,75.9,0.43,78.2,73.5,27.0,32.0,0.1,43.7,20.2,40.0,7.2,1.05,0.0,0.0,43.0,-0.051,-0.051,0.0,0.0,5.0,17.2,-1.03,0.0,0.0,43.0,73.0,-0.98,0.0,0.0,50.0,197.8,2.0,214.6,181.0,2.0,0.08800000000000001,0.08800000000000001,0.0,0.0,25.0,0.046,0.046,0.0,0.0,0.0,88.1,-0.82,91.0,85.2,37.0,93.3,-0.2,0.0,0.0,4.0,47.0,1.89,0.0,0.0,48.0,34.0,1.44,0.0,0.0,18.0,8.9,-0.74,10.2,7.6,6.0,72.5,1.07,74.9,70.1,31.0,48.6,-0.61,0.0,0.0
Wyoming,45.0,68.7,-1.35,72.2,65.2,48.0,60.0,-1.6,63.9,56.1,40.0,73.6,-0.47,0.0,0.0,45.0,23.3,1.14,26.5,20.0,48.0,62.8,-1.52,66.6,59.0,36.0,27.0,-0.48,36.4,17.6,10.0,5.0,-0.73,0.0,0.0,30.0,-0.005,-0.005,0.0,0.0,40.0,34.8,0.43,0.0,0.0,33.0,77.0,-0.33,0.0,0.0,28.0,103.9,0.22,127.1,83.9,38.0,-0.027000000000000003,-0.027000000000000003,0.0,0.0,32.0,-0.036000000000000004,-0.036000000000000004,0.0,0.0,0.0,92.8,0.93,95.4,90.2,31.0,93.8,0.05,0.0,0.0,15.0,30.0,0.36,0.0,0.0,1.0,14.6,-2.0,0.0,0.0,45.0,17.9,1.16,20.9,14.8,45.0,58.1,-1.5,61.9,54.4,15.0,51.8,-0.07,0.0,0.0
