year,state,id,state_code,latitude,longitude,deaths,births,maternal_mortality_ratio,population,employer,non_group,medicaid,medicare,military,uninsured,air_pollution_val,cancer_death_val,cardio_death_val,child_pov_val,choles_check_val,dent_vis_val,dentists_val,diabetes_val,drug_deaths_val,health_stat_fem_val,immun_child_val,income_ineq_val,infant_mort_val,infect_dis_val,obesity_val,phys_inac_val,prem_death_val,smoking_val,uninsured_val,all_determs_val,all_outcomes_val,chlamydia_val,prem_death_ri_val,teen_birth_val,primary_care_val
2010,Idaho,US.ID,ID,44.068202,-114.742041,10.0,23198.0,43.11,782258.0,56.0,10.3,7.2,1.6,1.4,23.4,8.2,175.8,238.3,19.7,69.4,69.5,59.4,7.9,9.4,56.4,90.28,3.91,6.3,3.6,25.1,21.0,6628.0,16.3,15.4,0.419,0.135,275.2,1.0,41.4,76.1
2009,Illinois,US.IL,IL,40.633125,-89.398528,35.0,171163.0,20.45,6520723.0,62.9,6.2,12.5,1.5,0.6,16.4,13.2,200.1,284.7,19.3,74.4,68.8,62.9,8.3,9.6,53.2,78.1,4.62,7.0,16.7,26.9,28.0,7076.0,21.3,13.1,-0.109,0.067,431.6,1.9,39.5,129.1
2010,Illinois,US.IL,IL,40.633125,-89.398528,29.0,165200.0,17.55,6538356.0,61.7,6.2,12.5,1.6,0.5,17.5,12.5,199.7,276.3,19.5,75.6,68.9,63.5,8.1,10.3,53.4,89.48,4.75,6.9,16.1,27.4,23.6,6979.0,18.6,13.9,-0.036000000000000004,0.066,458.6,1.8,40.0,129.5
2011,Illinois,US.IL,IL,40.633125,-89.398528,45.0,161312.0,27.9,6555063.0,61.9,6.1,13.3,1.7,0.6,16.4,11.8,199.8,269.3,20.6,75.6,69.7,64.6,8.7,10.2,53.0,91.3,4.72,7.0,11.1,28.7,25.7,7049.0,16.9,14.5,0.018000000000000002,0.08,468.9,1.8,38.1,129.6
2012,Illinois,US.IL,IL,40.633125,-89.398528,35.0,159160.0,21.99,6555800.0,61.4,6.4,13.1,1.8,0.6,16.7,11.7,199.2,260.2,19.6,73.1,69.7,64.1,9.7,10.4,49.5,90.28,4.89,6.8,13.7,27.1,25.1,7155.0,20.9,14.8,-0.027000000000000003,-0.079,472.9,1.7,33.0,130.4
2013,Illinois,US.IL,IL,40.633125,-89.398528,27.0,156931.0,17.21,6555652.0,61.5,6.3,13.9,1.7,0.6,16.0,11.7,197.0,253.7,18.5,73.1,66.9,65.4,9.4,10.5,51.4,68.5,4.91,6.6,0.326,28.1,21.8,6976.0,18.6,14.2,-0.062,-0.034,506.1,1.7,29.5,133.2
2014,Illinois,US.IL,IL,40.633125,-89.398528,32.0,158556.0,20.18,6559694.0,62.0,8.0,15.8,1.9,0.6,11.8,11.4,197.9,253.9,17.7,74.0,66.9,65.8,9.9,11.1,50.2,66.8,5.0,6.5,0.13,29.4,25.1,6721.0,18.0,12.8,-0.066,-0.012,526.1,1.7,27.9,133.9
2015,Illinois,US.IL,IL,40.633125,-89.398528,40.0,158116.0,25.3,6545500.0,62.0,9.0,17.8,1.8,0.7,8.6,11.1,198.6,253.1,20.5,74.0,63.9,66.7,10.1,11.9,50.4,68.3,4.96,6.2,-0.057,29.3,23.9,6555.0,16.5,11.2,0.003,-0.004,495.5,1.7,24.6,138.8
2016,Illinois,US.IL,IL,40.633125,-89.398528,28.0,154445.0,18.13,6509748.0,63.0,8.7,18.0,1.8,0.6,7.9,10.8,199.6,253.8,15.6,78.2,63.9,67.6,9.9,12.6,51.4,70.8,4.96,6.3,-0.093,30.8,24.8,6743.0,15.1,8.4,0.063,0.021,516.5,1.7,22.8,169.5
2017,Illinois,US.IL,IL,40.633125,-89.398528,39.0,149390.0,26.11,6509545.0,63.8,7.8,17.6,1.8,0.5,8.5,10.2,199.8,257.8,19.1,78.2,65.5,67.4,10.4,13.2,50.2,71.5,5.01,6.3,0.0,31.6,23.9,6825.0,15.8,6.8,0.006999999999999999,0.022,540.4,1.7,21.1,175.3
2018,Illinois,US.IL,IL,40.633125,-89.398528,22.0,144815.0,15.19,6480179.0,64.4,7.5,16.8,1.7,0.6,9.0,9.6,199.9,260.1,17.7,86.8,65.5,68.2,11.0,15.3,48.9,75.4,4.98,6.2,0.19,31.1,24.0,7127.0,15.5,6.7,0.083,-0.023,561.4,1.7,18.7,184.0
2019,Illinois,US.IL,IL,40.633125,-89.398528,20.0,140128.0,14.27,6445263.0,65.3,7.0,16.2,1.9,0.6,8.9,9.3,198.7,262.4,16.2,86.8,68.1,67.3,10.0,18.1,49.6,75.4,5.01,6.2,0.043,31.8,24.6,7158.0,15.5,6.9,0.078,0.017,589.9,1.8,17.4,190.0
2009,Indiana,US.IN,IN,40.551217,-85.602364,16.0,86673.0,18.46,3281477.0,64.0,5.5,10.8,1.9,0.7,17.0,13.2,208.4,300.5,23.3,73.6,68.3,45.8,9.5,11.3,49.2,78.4,4.24,7.8,9.3,27.0,27.7,8155.0,26.0,11.9,-0.201,0.004,326.4,1.5,43.5,101.8
2010,Indiana,US.IN,IN,40.551217,-85.602364,14.0,83940.0,16.68,3294065.0,61.8,5.8,10.5,2.5,0.7,18.7,13.4,208.2,291.0,26.3,75.7,68.3,45.7,9.3,12.4,48.5,87.33,4.25,7.3,8.6,30.0,27.2,7889.0,23.1,13.2,-0.295,-0.014,347.4,1.5,45.2,101.8
2011,Indiana,US.IN,IN,40.551217,-85.602364,43.0,83701.0,51.37,3309937.0,61.7,5.2,11.3,2.0,0.9,18.8,13.1,207.8,285.4,25.2,75.7,68.8,46.4,9.8,13.2,50.6,89.43,4.27,7.4,7.8,30.2,26.5,7917.0,21.2,13.6,-0.28600000000000003,-0.005,338.3,1.5,43.7,102.5
2012,Indiana,US.IN,IN,40.551217,-85.602364,36.0,83227.0,43.26,3319144.0,61.8,5.3,10.6,2.2,0.8,19.2,13.1,209.0,278.3,23.6,72.8,68.8,46.4,10.2,13.9,48.3,89.35,4.43,7.7,11.7,30.8,29.2,8357.0,25.6,12.7,-0.293,-0.115,352.0,1.4,37.3,101.5
2013,Indiana,US.IN,IN,40.551217,-85.602364,35.0,83102.0,42.12,3334634.0,61.5,5.7,11.4,2.4,0.7,18.3,12.6,207.0,272.8,24.7,72.8,62.6,47.2,10.9,14.6,47.6,61.4,4.38,7.7,-0.377,31.4,25.9,8126.0,24.0,12.7,-0.342,-0.14400000000000002,428.8,1.3,34.8,101.6
2014,Indiana,US.IN,IN,40.551217,-85.602364,38.0,84080.0,45.2,3347411.0,62.1,6.8,12.1,2.6,0.8,15.6,11.7,208.2,274.4,14.7,74.5,62.6,46.9,11.0,15.1,49.2,68.5,4.43,7.2,-0.33,31.8,31.0,7993.0,21.9,14.1,-0.257,-0.124,452.7,1.3,33.0,104.2
2015,Indiana,US.IN,IN,40.551217,-85.602364,46.0,84040.0,54.74,3357815.0,62.8,7.7,13.9,2.7,0.9,12.0,11.3,208.8,275.1,23.3,74.5,61.5,47.4,10.7,15.8,45.2,66.3,4.34,7.0,-0.36,32.7,26.1,8129.0,22.9,12.9,-0.309,-0.131,428.7,1.4,30.3,106.7
2016,Indiana,US.IN,IN,40.551217,-85.602364,50.0,83091.0,60.17,3363491.0,63.7,7.7,15.4,2.5,0.8,9.9,10.5,210.5,277.1,19.7,73.5,61.5,47.7,11.4,16.7,48.5,74.7,4.34,7.1,-0.473,31.3,29.4,8208.0,20.6,10.8,-0.228,-0.14400000000000002,434.0,1.4,28.0,121.3
2017,Indiana,US.IN,IN,40.551217,-85.602364,40.0,82170.0,48.68,3379723.0,63.8,7.5,15.7,2.3,0.8,10.0,9.7,210.5,277.5,13.9,73.5,61.9,46.8,11.5,17.9,48.8,68.8,4.38,7.2,-0.653,32.5,26.8,8471.0,21.1,8.9,-0.207,-0.15,437.9,1.4,26.1,123.4
2018,Indiana,US.IN,IN,40.551217,-85.602364,23.0,81646.0,28.17,3391576.0,65.0,6.4,15.4,2.4,0.7,10.1,8.7,210.5,278.5,19.5,83.4,61.9,47.7,11.8,20.2,45.4,66.3,4.42,7.4,-0.443,33.6,29.8,8774.0,21.8,8.2,-0.252,-0.18,466.0,1.4,23.5,126.0
2019,Indiana,US.IN,IN,40.551217,-85.602364,33.0,80859.0,40.81,3411859.0,64.1,6.1,16.2,2.4,1.0,10.2,8.4,209.5,282.6,18.0,83.4,64.4,48.0,12.5,23.7,47.6,66.3,4.31,7.4,-0.34,34.1,27.4,8995.0,21.1,8.3,-0.325,-0.168,514.2,1.4,22.9,127.2
2014,Iowa,US.IA,IA,41.878003,-93.097702,11.0,39687.0,27.72,1564081.0,66.6,10.0,13.8,1.5,0.8,7.4,9.6,191.8,245.4,14.3,75.7,71.1,52.0,9.3,8.5,54.9,78.3,4.25,5.0,0.39,31.3,28.5,6309.0,19.5,8.3,0.07400000000000001,0.142,371.5,1.5,24.1,85.7
2016,Iowa,US.IA,IA,41.878003,-93.097702,12.0,39403.0,30.45,1575574.0,67.1,9.2,16.9,1.5,0.8,4.5,8.6,194.4,245.9,13.9,75.7,69.4,52.9,8.8,8.9,55.4,77.9,4.23,4.5,-0.303,32.1,26.3,6328.0,18.1,5.6,0.229,0.114,382.0,1.5,19.8,139.1
2017,Iowa,US.IA,IA,41.878003,-93.097702,12.0,38430.0,31.23,1580978.0,67.9,8.3,16.4,1.4,0.7,5.3,7.8,195.2,245.1,14.0,75.7,71.3,51.9,9.3,9.4,54.5,73.5,4.22,4.5,-0.207,32.0,22.7,6333.0,16.7,4.7,0.229,0.147,388.9,1.5,18.5,142.3
2009,Kansas,US.KS,KS,39.011902,-98.484246,13.0,41396.0,31.4,1428139.0,65.3,7.7,7.2,1.6,2.4,15.7,9.9,192.5,270.9,17.1,72.3,71.9,49.0,8.1,9.5,55.8,78.2,4.13,7.5,7.9,28.1,25.5,7365.0,17.9,12.4,0.121,0.114,294.7,1.6,42.0,101.2
2010,Kansas,US.KS,KS,39.011902,-98.484246,11.0,40649.0,27.06,1437710.0,64.0,7.2,7.1,1.7,2.4,17.7,9.7,189.6,265.2,18.0,75.0,71.9,48.7,8.5,9.2,56.9,91.28,4.31,7.6,6.2,28.8,23.2,7245.0,17.8,12.7,0.154,0.091,328.6,1.6,43.7,102.5
2013,Kansas,US.KS,KS,39.011902,-98.484246,15.0,38839.0,38.62,1452009.0,62.5,7.6,8.1,2.0,2.7,17.1,8.9,189.2,242.4,23.4,72.9,67.3,50.1,9.4,10.3,53.2,65.0,4.35,6.2,-0.294,29.8,22.9,7336.0,19.4,13.1,0.025,0.097,371.5,1.5,35.4,105.1
2016,Kansas,US.KS,KS,39.011902,-98.484246,11.0,38053.0,28.91,1459530.0,65.3,10.4,9.0,1.9,2.5,10.8,8.0,192.6,249.6,20.4,74.1,67.3,50.9,9.7,11.7,51.6,75.2,4.42,6.4,-0.173,34.2,26.5,7180.0,17.7,9.7,-0.058,0.047,384.1,1.4,27.6,129.0
2017,Kansas,US.KS,KS,39.011902,-98.484246,10.0,36519.0,27.38,1461167.0,66.6,8.9,9.1,2.2,2.5,10.8,7.3,194.3,253.5,15.9,74.1,66.6,50.5,9.4,11.8,52.7,76.4,4.35,6.1,0.177,31.2,23.5,7380.0,17.2,8.9,0.057,0.066,394.8,1.5,25.6,133.3
2019,Kansas,US.KS,KS,39.011902,-98.484246,13.0,35395.0,36.73,1461617.0,66.0,7.5,9.8,2.0,2.2,12.6,7.0,194.7,261.8,14.9,84.8,67.9,50.1,11.6,11.6,50.5,69.5,4.41,6.0,-0.087,34.4,22.5,7608.0,17.2,8.8,-0.034,0.013,465.3,1.6,21.3,138.1
2010,Kentucky,US.KY,KY,37.839333,-84.27001800000002,17.0,55784.0,30.47,2204415.0,56.4,5.6,13.0,3.0,1.8,20.1,12.6,225.1,311.5,22.4,78.2,64.4,54.3,11.5,17.2,45.9,91.2,5.04,6.8,10.0,32.4,29.7,9059.0,25.6,16.1,-0.262,-0.161,284.9,1.2,55.1,103.9
2011,Kentucky,US.KY,KY,37.839333,-84.27001800000002,11.0,55370.0,19.87,2219482.0,57.1,5.4,13.4,2.9,1.6,19.5,11.9,226.3,303.9,24.7,78.2,63.2,55.5,10.0,17.4,47.4,89.73,5.06,6.9,7.5,31.8,29.3,9005.0,24.8,15.4,-0.321,-0.157,308.1,1.1,55.6,104.2
2013,Kentucky,US.KY,KY,37.839333,-84.27001800000002,19.0,55686.0,34.12,2231899.0,56.8,5.2,12.7,3.5,1.8,20.1,11.1,226.0,294.5,26.9,75.7,60.3,56.1,10.7,21.7,44.3,68.2,5.2,6.6,-0.421,31.3,29.6,9622.0,28.3,15.0,-0.425,-0.29,383.2,1.1,43.5,102.5
2015,Kentucky,US.KY,KY,37.839333,-84.27001800000002,17.0,55971.0,30.37,2245998.0,56.5,6.4,24.9,3.9,1.7,6.5,10.1,228.8,298.1,30.3,77.0,61.0,56.6,12.5,24.0,43.6,72.3,5.17,6.8,-0.4270000000000001,31.6,28.2,9110.0,26.2,11.4,-0.29600000000000004,-0.303,391.2,1.0,39.5,107.0
2016,Kentucky,US.KY,KY,37.839333,-84.27001800000002,29.0,55449.0,52.3,2250421.0,56.0,6.6,26.3,3.9,1.7,5.5,9.1,232.2,297.8,25.0,76.5,61.0,55.3,13.4,24.1,45.3,73.0,5.01,6.7,-0.463,34.6,32.5,9626.0,25.9,7.3,-0.36,-0.29100000000000004,401.9,1.0,35.3,117.7
2017,Kentucky,US.KY,KY,37.839333,-84.27001800000002,18.0,54752.0,32.88,2259871.0,56.7,5.8,26.4,3.4,1.6,6.2,8.8,233.6,296.4,20.7,76.5,61.8,54.6,13.1,25.5,44.1,74.5,5.18,6.9,-0.643,34.2,29.8,10042.0,24.5,5.6,-0.229,-0.282,395.2,1.0,32.3,120.6
2018,Kentucky,US.KY,KY,37.839333,-84.27001800000002,29.0,53922.0,53.78,2266891.0,57.2,5.6,25.5,3.4,1.6,6.7,8.2,234.9,299.7,25.0,86.8,61.8,55.8,12.9,28.6,42.8,71.0,5.1,6.7,-0.09,34.3,34.4,10479.0,24.6,5.3,-0.292,-0.327,413.2,1.0,30.9,124.1
2019,Kentucky,US.KY,KY,37.839333,-84.27001800000002,21.0,53069.0,39.57,2266644.0,57.7,5.4,24.3,3.5,1.4,7.7,8.1,233.4,301.2,23.0,86.8,61.9,55.3,13.7,32.2,41.6,71.0,4.93,6.6,-0.067,36.6,32.4,10400.0,23.4,5.5,-0.311,-0.298,433.7,1.0,29.0,127.0
2012,Louisiana,US.LA,LA,31.244823,-92.145024,28.0,62642.0,44.7,2349843.0,51.7,6.3,14.5,2.1,1.6,23.7,9.5,219.2,318.5,30.5,74.1,63.9,47.6,11.8,13.7,44.9,93.1,5.74,8.2,16.9,33.4,33.8,10262.0,25.7,20.3,-0.713,-0.282,643.0,1.4,47.7,116.9
2013,Louisiana,US.LA,LA,31.244823,-92.145024,47.0,63201.0,74.37,2361537.0,52.7,5.9,13.8,2.3,1.5,23.9,9.6,216.7,309.3,31.0,74.1,56.1,47.8,12.3,13.2,44.5,68.5,5.59,7.9,0.861,34.7,29.9,9806.0,24.8,19.6,-0.611,-0.233,697.4,1.3,45.1,120.3
2014,Louisiana,US.LA,LA,31.244823,-92.145024,40.0,64497.0,62.02,2375737.0,53.7,7.9,14.3,2.3,1.6,20.2,9.2,217.4,307.5,26.5,76.2,56.1,48.6,11.6,12.9,45.1,69.1,5.68,8.2,0.88,33.1,32.2,9625.0,23.5,16.7,-0.53,-0.273,597.9,1.3,43.1,123.7
2015,Louisiana,US.LA,LA,31.244823,-92.145024,44.0,64692.0,68.01,2386915.0,54.9,9.5,15.0,2.4,1.7,16.6,8.6,217.9,306.3,33.7,76.2,58.3,48.0,11.3,14.4,47.2,73.2,5.68,8.4,1.117,34.9,29.5,9957.0,24.0,15.7,-0.767,-0.219,624.5,1.3,39.2,125.0
2016,Louisiana,US.LA,LA,31.244823,-92.145024,56.0,63178.0,88.64,2392296.0,53.4,9.6,20.0,2.4,1.3,13.2,8.1,218.7,312.5,24.7,77.7,58.3,48.4,12.7,15.6,45.6,70.8,5.71,8.1,0.843,36.2,31.9,9958.0,21.9,13.4,-0.7070000000000001,-0.335,626.0,1.3,35.8,125.7
2017,Louisiana,US.LA,LA,31.244823,-92.145024,41.0,61018.0,67.19,2394887.0,53.1,7.8,25.2,2.3,1.5,10.1,7.8,218.2,316.2,28.3,77.7,56.6,48.2,12.1,17.7,46.3,66.8,5.65,7.6,0.947,35.5,29.1,10003.0,22.8,11.1,-0.687,-0.22,695.2,1.4,34.3,131.1
2018,Louisiana,US.LA,LA,31.244823,-92.145024,22.0,59615.0,36.9,2385219.0,52.7,7.0,26.7,2.5,1.7,9.4,8.0,215.3,320.0,28.6,85.9,56.6,48.5,13.6,18.9,43.0,70.0,5.8,7.8,0.977,36.2,31.8,10125.0,23.1,9.4,-0.667,-0.354,679.3,1.4,30.8,136.4
2019,Louisiana,US.LA,LA,31.244823,-92.145024,26.0,58941.0,44.11,2381744.0,51.8,6.7,27.4,2.6,1.4,10.1,7.9,214.5,323.5,26.2,85.9,58.1,47.8,14.1,21.3,46.4,70.0,5.53,7.5,0.87,36.8,30.8,10169.0,20.5,8.2,-0.64,-0.273,742.0,1.4,29.2,139.7
2009,Maryland,US.MD,MD,39.045755,-76.641271,18.0,75059.0,23.98,2960001.0,69.5,6.0,8.4,1.6,1.8,12.7,12.6,197.5,286.3,10.0,81.1,72.6,71.2,8.6,12.6,58.3,82.6,4.18,8.0,39.9,26.7,24.0,7784.0,14.9,12.9,0.282,0.008,412.0,1.6,33.6,179.7
2010,Maryland,US.MD,MD,39.045755,-76.641271,26.0,73801.0,35.23,2981790.0,67.5,6.2,9.9,1.5,1.9,13.0,12.1,196.4,281.8,12.3,83.2,72.6,70.9,9.3,12.7,58.0,92.33,4.34,8.0,32.8,26.8,23.8,7805.0,15.2,13.0,0.268,-0.001,437.9,1.5,34.4,179.4
2011,Maryland,US.MD,MD,39.045755,-76.641271,24.0,73093.0,32.83,3007715.0,67.8,6.2,10.9,1.5,1.7,11.8,11.5,193.0,278.5,13.6,83.2,75.5,71.0,9.3,12.6,55.9,90.08,4.42,7.6,9.8,27.9,23.1,7441.0,15.2,13.2,0.253,0.016,416.7,1.5,32.8,179.6
2012,Maryland,US.MD,MD,39.045755,-76.641271,20.0,72883.0,27.44,3034160.0,66.3,5.8,11.7,1.6,2.2,12.4,10.9,191.4,261.3,11.3,81.6,75.5,69.9,9.5,11.8,55.3,92.83,4.53,7.0,8.8,28.3,26.2,7521.0,19.1,13.3,0.305,0.01,453.7,1.5,27.3,173.8
2013,Maryland,US.MD,MD,39.045755,-76.641271,15.0,71953.0,20.85,3054052.0,66.7,6.2,11.3,1.6,2.1,12.1,10.8,188.3,253.1,13.6,81.6,72.7,71.2,10.2,11.8,53.7,67.1,4.55,6.8,-0.182,27.6,23.0,7059.0,16.2,13.1,0.228,0.048,471.3,1.4,24.7,175.3
2014,Maryland,US.MD,MD,39.045755,-76.641271,22.0,73921.0,29.76,3079989.0,65.0,7.2,14.8,1.8,1.9,9.2,10.0,187.7,250.7,15.3,81.2,72.7,72.1,9.8,12.2,54.7,75.8,4.54,6.6,-0.16,28.3,25.3,6772.0,16.4,10.2,0.305,0.05,455.3,1.4,22.1,178.5
2015,Maryland,US.MD,MD,39.045755,-76.641271,16.0,73616.0,21.73,3095316.0,65.9,8.1,15.2,1.8,1.7,7.3,9.6,188.0,250.1,13.4,81.2,70.2,71.9,10.1,13.4,56.4,74.4,4.51,6.5,-0.213,29.6,21.4,6780.0,14.6,9.0,0.295,0.035,454.1,1.3,19.4,183.7
2016,Maryland,US.MD,MD,39.045755,-76.641271,13.0,73136.0,17.78,3101981.0,65.6,8.2,15.3,1.9,2.1,6.9,9.1,189.2,252.5,13.8,83.7,70.2,72.0,10.3,15.3,57.1,76.8,4.56,6.5,-0.28,28.9,24.1,6836.0,15.1,7.3,0.315,0.006999999999999999,462.6,1.3,17.8,179.2
2017,Maryland,US.MD,MD,39.045755,-76.641271,25.0,71641.0,34.9,3118023.0,66.8,7.1,15.8,1.7,2.0,6.6,9.0,187.8,255.0,9.6,83.7,68.6,70.7,10.8,17.7,53.5,74.4,4.59,6.6,-0.353,29.9,23.1,7113.0,13.7,6.4,0.313,0.046,459.3,1.3,17.0,184.9
2018,Maryland,US.MD,MD,39.045755,-76.641271,17.0,71080.0,23.92,3113797.0,66.0,7.0,16.2,1.8,2.0,7.0,8.3,188.1,257.7,12.7,91.0,68.6,70.4,10.4,23.9,52.1,75.2,4.53,6.6,-0.187,31.3,25.6,7655.0,13.8,6.1,0.29100000000000004,0.016,510.4,1.3,16.0,188.2
2019,Maryland,US.MD,MD,39.045755,-76.641271,22.0,70178.0,31.35,3116815.0,65.8,7.1,16.0,1.9,2.1,7.1,7.7,187.2,262.1,11.6,91.0,66.8,70.6,12.0,30.2,51.6,75.2,4.51,6.5,-0.277,30.9,22.9,7689.0,12.5,6.1,0.342,-0.03,552.1,1.3,14.2,192.1
2016,Massachusetts,US.MA,MA,42.407211,-71.382437,18.0,71317.0,25.24,3506128.0,65.1,6.9,23.7,1.2,0.5,2.6,6.4,184.8,205.6,14.8,83.7,74.7,78.3,8.9,15.7,58.0,78.5,5.39,4.3,-0.523,24.3,26.5,5755.0,14.0,3.1,0.648,0.112,317.8,1.2,10.6,227.5
2017,Massachusetts,US.MA,MA,42.407211,-71.382437,14.0,70702.0,19.8,3529454.0,65.3,6.9,23.2,1.2,0.4,2.9,6.2,183.6,208.3,11.0,83.7,73.7,80.7,9.3,19.8,60.2,85.3,5.35,4.4,-0.5429999999999999,23.6,20.0,5970.0,13.6,2.7,0.778,0.138,357.3,1.1,9.4,237.1
2018,Massachusetts,US.MA,MA,42.407211,-71.382437,15.0,69109.0,21.7,3551621.0,65.1,7.4,22.9,1.1,0.5,3.0,6.0,182.7,208.7,13.6,88.2,73.7,82.7,9.5,25.2,55.6,82.1,5.5,4.1,-0.4,25.8,24.8,6097.0,13.7,2.7,0.718,0.14800000000000002,394.5,1.1,8.5,245.0
2009,Michigan,US.MI,MI,44.314844,-85.602364,34.0,117294.0,28.99,5044338.0,61.6,5.9,14.6,2.1,0.5,15.3,12.1,201.1,312.7,19.1,78.3,76.0,59.1,9.0,11.3,53.5,76.8,4.53,7.7,11.0,29.5,25.1,7558.0,20.5,11.7,-0.087,0.029,370.9,1.8,33.8,114.2
2010,Michigan,US.MI,MI,44.314844,-85.602364,47.0,114531.0,41.04,5035526.0,60.8,5.7,15.3,2.1,0.5,15.5,11.2,199.7,306.5,20.7,79.6,76.0,59.6,9.3,12.2,53.6,93.7,4.63,7.7,9.5,30.3,23.6,7631.0,19.6,12.7,0.024,0.01,449.1,1.8,34.2,115.2
2011,Michigan,US.MI,MI,44.314844,-85.602364,33.0,114008.0,28.95,5030242.0,60.1,6.0,15.8,2.2,0.5,15.4,10.1,198.9,303.2,20.4,79.6,72.5,59.7,10.1,13.1,53.2,92.9,4.61,7.4,9.2,31.7,23.6,7509.0,18.9,13.0,-0.025,-0.006999999999999999,458.5,1.8,33.2,117.8
2012,Michigan,US.MI,MI,44.314844,-85.602364,29.0,113091.0,25.64,5032849.0,61.1,5.9,15.5,2.2,0.7,14.7,9.5,200.0,288.2,22.7,76.7,72.5,59.5,10.0,13.7,50.4,87.03,4.8,7.3,15.4,31.3,23.6,7807.0,23.3,12.7,-0.133,-0.097,500.6,1.7,30.1,117.4
2013,Michigan,US.MI,MI,44.314844,-85.602364,36.0,113489.0,31.72,5036338.0,60.3,6.6,15.9,2.2,0.6,14.5,9.3,199.1,280.8,19.2,76.7,68.0,60.5,10.5,14.3,50.2,70.5,4.77,6.9,-0.16699999999999998,31.1,23.3,7821.0,23.3,11.7,-0.13,-0.08800000000000001,501.5,1.7,27.8,119.4
2014,Michigan,US.MI,MI,44.314844,-85.602364,29.0,114375.0,25.36,5041414.0,60.6,7.9,18.1,2.4,0.6,10.5,8.8,199.7,282.4,19.8,79.4,68.0,61.1,10.4,13.9,51.8,70.0,4.75,6.7,-0.3,31.5,24.4,7574.0,21.4,11.2,-0.1,-0.105,481.6,1.7,26.3,122.2
2015,Michigan,US.MI,MI,44.314844,-85.602364,27.0,113312.0,23.83,5044428.0,61.0,7.9,21.0,2.6,0.6,6.9,8.8,198.7,284.3,20.8,79.4,68.6,61.4,10.4,14.5,50.8,65.0,4.69,7.0,-0.303,30.7,25.5,7618.0,21.2,9.7,-0.19,-0.085,453.6,1.7,23.6,124.1
2016,Michigan,US.MI,MI,44.314844,-85.602364,40.0,113315.0,35.3,5043554.0,61.2,8.0,21.8,2.3,0.5,6.2,8.6,201.0,288.7,21.1,79.2,68.6,61.0,10.7,15.7,48.9,67.6,4.7,6.8,-0.227,31.2,25.5,7689.0,20.7,7.3,-0.136,-0.115,447.2,1.6,21.1,187.5
2017,Michigan,US.MI,MI,44.314844,-85.602364,24.0,111426.0,21.54,5058559.0,62.2,7.4,21.8,2.2,0.6,5.8,8.7,201.5,293.0,17.3,79.2,70.1,61.5,11.2,18.0,47.7,70.2,4.75,6.5,-0.4970000000000001,32.5,23.9,7853.0,20.4,5.8,-0.071,-0.136,469.1,1.6,19.3,193.0
2018,Michigan,US.MI,MI,44.314844,-85.602364,32.0,110032.0,29.08,5073772.0,62.0,7.0,21.8,2.4,0.5,6.3,8.3,203.0,297.8,20.7,89.2,70.1,61.2,11.0,20.8,48.7,69.9,4.6,6.5,-0.457,32.3,27.2,8102.0,19.3,5.3,-0.065,-0.13,462.9,1.6,17.7,200.9
2019,Michigan,US.MI,MI,44.314844,-85.602364,34.0,107886.0,31.51,5068329.0,62.3,7.3,20.8,2.4,0.6,6.7,8.0,200.9,300.7,19.4,89.2,71.0,60.6,11.7,23.9,46.4,69.9,4.64,6.6,-0.25,33.0,23.8,8111.0,18.9,5.3,-0.1,-0.109,507.9,1.6,16.4,205.2
2009,Minnesota,US.MN,MN,46.729553,-94.6859,11.0,70646.0,15.57,2659958.0,68.4,8.0,11.8,1.4,0.5,9.8,8.6,181.2,206.3,15.6,76.2,75.3,60.1,5.9,6.0,61.7,77.4,4.12,5.4,9.9,25.2,18.1,5500.0,17.6,8.5,0.477,0.341,237.5,2.6,27.9,139.5
2011,Minnesota,US.MN,MN,46.729553,-94.6859,13.0,68409.0,19.0,2689958.0,67.7,8.0,12.4,1.5,0.7,9.7,8.6,183.5,195.9,13.9,77.0,78.9,59.5,6.7,7.2,61.2,90.93,4.31,5.3,23.2,25.4,19.1,5499.0,14.9,8.9,0.442,0.314,237.5,2.5,27.2,140.3
2012,Minnesota,US.MN,MN,46.729553,-94.6859,15.0,68772.0,21.81,2706970.0,68.1,7.3,12.9,1.8,0.8,9.1,8.2,184.9,186.9,13.3,76.7,78.9,59.6,7.3,7.5,59.7,93.23,4.35,4.6,24.3,25.7,21.9,5621.0,19.1,9.5,0.601,0.315,237.5,2.5,22.5,141.6
2013,Minnesota,US.MN,MN,46.729553,-94.6859,11.0,69159.0,15.91,2727081.0,66.7,8.9,13.0,1.5,0.7,9.2,8.1,182.7,182.7,13.7,76.7,74.8,60.0,7.3,8.3,58.3,66.2,4.29,4.6,-0.27,25.7,17.5,5493.0,18.8,8.7,0.404,0.326,237.5,2.7,19.3,143.5
2014,Minnesota,US.MN,MN,46.729553,-94.6859,10.0,69904.0,14.31,2745132.0,66.8,8.6,15.4,1.7,0.7,6.8,8.0,180.9,184.7,14.0,77.0,74.8,60.5,7.4,8.6,58.2,74.1,4.36,4.9,0.22,25.5,23.5,5358.0,18.0,8.1,0.4,0.326,337.8,2.7,18.5,145.2
